timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,264.33,264.6338,261.0,263.26,263.26,61766,0.0000,1.0
2020-12-10,262.43,265.71,261.46,265.22,265.22,76794,0.0000,1.0
2020-12-09,268.8,268.8,262.53,264.45,264.45,124452,0.0000,1.0
2020-12-08,265.36,267.3874,264.1101,267.305,267.305,98376,0.0000,1.0
2020-12-07,265.38,266.87,264.66,266.87,266.87,96206,0.0000,1.0
2020-12-04,265.24,265.6272,264.275,265.51,265.51,91153,0.0000,1.0
2020-12-03,263.17,265.67,263.17,264.38,264.38,102773,0.0000,1.0
2020-12-02,262.53,262.5599,259.68,261.93,261.93,107959,0.0000,1.0
2020-12-01,264.59,265.2,262.0,264.37,264.37,177238,0.0000,1.0
2020-11-30,264.66,264.75,257.859,261.48,261.48,121499,0.0000,1.0
2020-11-27,264.36,265.058,263.47,264.4,264.4,54572,0.0000,1.0
2020-11-25,261.51,263.3399,260.3207,262.78,262.78,87676,0.0000,1.0
2020-11-24,260.3,262.25,258.845,261.59,261.59,114576,0.0000,1.0
2020-11-23,254.51,257.87,254.51,257.12,257.12,96294,0.0000,1.0
2020-11-20,253.88,253.88,252.5,252.5,252.5,61877,0.0000,1.0
2020-11-19,251.58,253.71,251.0,253.54,253.54,68209,0.0000,1.0
2020-11-18,251.28,254.158,250.68,251.32,251.32,77866,0.0000,1.0
2020-11-17,250.33,251.86,248.56,250.9,250.9,170190,0.0000,1.0
2020-11-16,248.86,249.12,247.0,249.12,249.12,222488,0.0000,1.0
2020-11-13,244.12,246.44,243.985,246.13,246.13,48211,0.0000,1.0
2020-11-12,245.54,246.4599,241.455,242.8,242.8,121779,0.0000,1.0
2020-11-11,245.27,246.7,244.51,246.12,246.12,72676,0.0000,1.0
2020-11-10,244.68,244.85,240.355,243.23,243.23,106912,0.0000,1.0
2020-11-09,258.3,258.3,244.72,244.72,244.72,156082,0.0000,1.0
2020-11-06,248.38,248.38,245.4,247.11,247.11,64501,0.0000,1.0
2020-11-05,246.88,249.0699,246.225,248.5,248.5,114273,0.0000,1.0
2020-11-04,239.85,244.44,239.735,242.37,242.37,107225,0.0000,1.0
2020-11-03,234.04,238.25,232.72,237.05,237.05,126477,0.0000,1.0
2020-11-02,231.95,233.062,228.485,231.38,231.38,95138,0.0000,1.0
2020-10-30,233.75,233.905,227.52,229.12,229.12,139185,0.0000,1.0
2020-10-29,235.39,238.01,233.72,235.86,235.86,95040,0.0000,1.0
2020-10-28,237.68,238.372,234.2,234.59,234.59,233481,0.0000,1.0
2020-10-27,242.22,243.24,241.16,241.97,241.97,69454,0.0000,1.0
2020-10-26,243.23,244.95,237.89,241.6,241.6,104709,0.0000,1.0
2020-10-23,245.18,245.89,242.46,245.86,245.86,44455,0.0000,1.0
2020-10-22,244.13,244.473,240.87,243.93,243.93,45735,0.0000,1.0
2020-10-21,245.03,246.1,242.86,243.04,243.04,43710,0.0000,1.0
2020-10-20,245.36,248.0,244.4,244.95,244.95,56403,0.0000,1.0
2020-10-19,248.56,249.416,243.26,243.6,243.6,69464,0.0000,1.0
2020-10-16,250.75,251.59,246.15,246.73,246.73,79147,0.0000,1.0
2020-10-15,245.0,250.063,244.17,249.42,249.42,57236,0.0000,1.0
2020-10-14,251.44,252.0,247.5,248.55,248.55,48711,0.0000,1.0
2020-10-13,250.0,251.39,248.54,250.65,250.65,139028,0.0000,1.0
2020-10-12,248.98,251.36,248.29,250.11,250.11,91243,0.0000,1.0
2020-10-09,245.63,247.2165,245.1571,246.83,246.83,80515,0.0000,1.0
2020-10-08,244.61,244.61,242.355,243.95,243.95,50520,0.0000,1.0
2020-10-07,239.47,242.98,239.47,242.48,242.48,98847,0.0000,1.0
2020-10-06,241.67,242.45,235.995,236.74,236.74,567034,0.0000,1.0
2020-10-05,239.29,241.25,239.0,241.15,241.15,79725,0.0000,1.0
2020-10-02,234.12,238.415,233.16,237.3,237.3,107758,0.0000,1.0
2020-10-01,237.38,239.64,236.3,239.64,239.64,104706,0.0000,1.0
2020-09-30,233.25,237.2793,233.25,234.62,234.62,170359,0.0000,1.0
2020-09-29,234.73,234.73,232.615,232.8366,232.8366,205219,0.0000,1.0
2020-09-28,233.48,235.175,232.315,234.85,234.85,65837,0.0000,1.0
2020-09-25,225.74,229.915,224.86,229.53,229.53,75174,0.0000,1.0
2020-09-24,223.85,229.0954,221.6025,225.6,225.6,79896,0.0000,1.0
2020-09-23,233.1,233.1599,225.33,225.61,225.61,543411,0.0000,1.0
2020-09-22,228.34,232.25,227.44,231.8,231.8,73580,0.0000,1.0
2020-09-21,227.0,227.675,221.781,227.62,227.62,208478,0.0000,1.0
2020-09-18,233.73,233.951,227.571,230.26,230.26,102569,0.0000,1.0
2020-09-17,231.57,234.0,230.5,232.38,232.38,646568,0.0000,1.0
2020-09-16,238.85,239.54,236.07,236.27,236.27,141699,0.0000,1.0
2020-09-15,237.28,239.05,236.158,237.83,237.83,166684,0.0000,1.0
2020-09-14,233.43,235.205,232.65,234.98,234.98,126351,0.0000,1.0
2020-09-11,232.97,232.97,227.81,230.35,230.35,95933,3.7937,1.0
2020-09-10,239.3,242.2,233.91,234.64,230.838258727,137363,0.0000,1.0
2020-09-09,234.59,238.4399,233.58,237.0733,233.232133322,129469,0.0000,1.0
2020-09-08,232.33,236.5,230.4288,231.5,227.749134399,184491,0.0000,1.0
2020-09-04,241.2,243.2794,230.49,238.68,234.812800857,176675,0.0000,1.0
2020-09-03,248.5,248.6654,238.73,241.23,237.321484627,243452,0.0000,1.0
2020-09-02,251.33,251.74,246.13,250.9,246.834807001,123080,0.0000,1.0
2020-09-01,247.3,249.56,246.24,249.52,245.477166373,114462,0.0000,1.0
2020-08-31,245.97,248.05,244.25,246.7,242.702857262,123144,0.0000,1.0
2020-08-28,246.15,246.54,244.715,245.67,241.689545779,73270,0.0000,1.0
2020-08-27,246.29,246.5,242.59,244.39,240.430284906,104560,0.0000,1.0
2020-08-26,241.95,245.135,241.8801,244.71,240.745100124,121354,0.0000,1.0
