timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,56.2,56.2,55.12,55.95,55.95,1015118,0.0000,1.0
2020-12-10,54.86,57.14,54.7,56.62,56.62,1254512,0.0000,1.0
2020-12-09,55.19,56.115,54.02,54.81,54.81,1210562,0.0000,1.0
2020-12-08,53.24,55.13,53.17,54.69,54.69,931474,0.0000,1.0
2020-12-07,54.53,54.55,53.32,53.77,53.77,939061,0.0000,1.0
2020-12-04,53.16,55.1,53.16,55.09,55.09,1304445,0.0000,1.0
2020-12-03,51.88,52.81,51.33,52.24,52.24,1250104,0.0000,1.0
2020-12-02,49.93,52.475,49.85,51.66,51.66,1404067,0.0000,1.0
2020-12-01,51.15,51.495,49.96,50.11,50.11,1190980,0.0000,1.0
2020-11-30,52.21,52.215,49.74,49.82,49.82,1243556,0.0000,1.0
2020-11-27,53.11,53.5,52.3358,52.74,52.74,611910,0.0000,1.0
2020-11-25,54.05,54.12,52.96,53.35,53.35,1286572,0.0000,1.0
2020-11-24,53.59,54.72,53.21,54.53,54.53,1899527,0.0000,1.0
2020-11-23,49.18,51.96,49.18,51.9,51.9,2044088,0.0000,1.0
2020-11-20,48.62,48.86,48.15,48.43,48.43,757613,0.0000,1.0
2020-11-19,47.63,48.82,47.13,48.73,48.73,1806219,0.0000,1.0
2020-11-18,49.71,49.93,47.91,47.91,47.91,1490204,0.0000,1.0
2020-11-17,48.11,49.26,47.48,49.26,49.26,1258313,0.0000,1.0
2020-11-16,47.64,48.78,47.08,48.7,48.7,1683687,0.0000,1.0
2020-11-13,44.43,45.9701,44.33,45.78,45.78,911262,0.0000,1.0
2020-11-12,44.89,45.51,43.7042,44.13,44.13,910110,0.0000,1.0
2020-11-11,46.59,46.59,45.24,45.7,45.7,1146655,0.0000,1.0
2020-11-10,45.54,46.0,44.51,45.97,45.97,1712317,0.0000,1.0
2020-11-09,43.48,45.51,43.31,44.68,44.68,2377058,0.0000,1.0
2020-11-06,40.01,40.61,39.06,39.15,39.15,639737,0.0000,1.0
2020-11-05,40.0,40.81,39.88,40.0,40.0,659566,0.0000,1.0
2020-11-04,39.99,40.86,38.89,39.9,39.9,1015993,0.0000,1.0
2020-11-03,40.85,40.88,39.59,39.96,39.96,915342,0.0000,1.0
2020-11-02,39.35,40.65,38.63,40.15,40.15,1746758,0.0000,1.0
2020-10-30,38.43,38.91,37.96,38.91,38.91,1111495,0.0000,1.0
2020-10-29,37.27,38.81,36.62,38.72,38.72,1045762,0.0000,1.0
