timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,69.93,70.01,69.93,69.97,69.97,699989,0.0000,1.0
2020-12-10,69.82,69.885,69.7809,69.88,69.88,456368,0.0000,1.0
2020-12-09,69.76,69.815,69.72,69.78,69.78,470613,0.0000,1.0
2020-12-08,69.87,69.8966,69.82,69.83,69.83,942008,0.0000,1.0
2020-12-07,69.78,69.83,69.77,69.81,69.81,963104,0.0000,1.0
2020-12-04,69.7,69.7089,69.645,69.69,69.69,595824,0.0000,1.0
2020-12-03,69.76,69.84,69.75,69.82,69.82,470096,0.0000,1.0
2020-12-02,69.73,69.73,69.6401,69.72,69.72,845565,0.0000,1.0
2020-12-01,69.82,69.84,69.68,69.75,69.75,1890415,0.0702,1.0
2020-11-30,70.02,70.06,70.0,70.02,69.9495991132,498494,0.0000,1.0
2020-11-27,69.98,70.03,69.98,70.03,69.9595890588,323563,0.0000,1.0
2020-11-25,69.94,69.98,69.92,69.93,69.8596896027,610662,0.0000,1.0
2020-11-24,69.93,69.935,69.88,69.91,69.8397097115,710846,0.0000,1.0
2020-11-23,69.9511,69.96,69.91,69.94,69.8696795483,760134,0.0000,1.0
2020-11-20,69.95,70.0,69.95,69.98,69.9096393307,1098554,0.0000,1.0
2020-11-19,69.92,69.97,69.91,69.93,69.8596896027,427603,0.0000,1.0
2020-11-18,69.92,69.9218,69.84,69.9,69.8297197659,735001,0.0000,1.0
2020-11-17,69.88,69.93,69.88,69.9,69.8297197659,2347652,0.0000,1.0
2020-11-16,69.8259,69.86,69.82,69.82,69.7498002011,941691,0.0000,1.0
2020-11-13,69.8659,69.89,69.83,69.83,69.7597901467,2686823,0.0000,1.0
2020-11-12,69.793,69.89,69.79,69.89,69.8197298203,1041503,0.0000,1.0
2020-11-11,69.61,69.69,69.605,69.68,69.6099409626,477727,0.0000,1.0
2020-11-10,69.6,69.7,69.6,69.61,69.5400113434,1659414,0.0000,1.0
2020-11-09,69.729,69.74,69.59,69.73,69.6598906907,704589,0.0000,1.0
2020-11-06,70.0,70.03,69.9501,70.01,69.9396091675,775291,0.0000,1.0
2020-11-05,70.17,70.17,70.085,70.14,70.0694784604,1021597,0.0000,1.0
2020-11-04,70.12,70.195,70.11,70.14,70.0694784604,661886,0.0000,1.0
2020-11-03,69.87,69.88,69.81,69.86,69.7897599835,1467299,0.0000,1.0
2020-11-02,69.98,69.995,69.91,69.91,69.8397097115,922605,0.0749,1.0
2020-10-30,70.03,70.0466,69.9434,69.96,69.8148613689,1423449,0.0000,1.0
2020-10-29,70.16,70.18,70.02,70.06,69.9146539095,1358672,0.0000,1.0
2020-10-28,70.25,70.25,70.17,70.18,70.0344049581,893784,0.0000,1.0
2020-10-27,70.15,70.2,70.145,70.18,70.0344049581,812228,0.0000,1.0
2020-10-26,70.08,70.15,70.07,70.12,69.9745294338,574937,0.0000,1.0
2020-10-23,69.96,70.06,69.959,70.02,69.8747368932,526756,0.0000,1.0
2020-10-22,70.06,70.07,69.965,69.97,69.824840623,586407,0.0000,1.0
2020-10-21,70.09,70.1282,70.0612,70.1,69.9545709257,736995,0.0000,1.0
2020-10-20,70.16,70.19,70.12,70.14,69.9944879419,1224500,0.0000,1.0
2020-10-19,70.17,70.2199,70.14,70.2,70.0543634662,531458,0.0000,1.0
2020-10-16,70.28,70.3264,70.24,70.26,70.1142389906,493766,0.0000,1.0
2020-10-15,70.36,70.36,70.26,70.29,70.1441767527,595033,0.0000,1.0
2020-10-14,70.33,70.35,70.2961,70.32,70.1741145149,399153,0.0000,1.0
2020-10-13,70.27,70.32,70.259,70.32,70.1741145149,2292845,0.0000,1.0
2020-10-12,70.18,70.22,70.16,70.22,70.0743219743,462914,0.0000,1.0
2020-10-09,70.17,70.22,70.11,70.18,70.0344049581,564428,0.0000,1.0
2020-10-08,70.17,70.215,70.15,70.21,70.0643427203,403910,0.0000,1.0
2020-10-07,70.15,70.19,70.09,70.13,69.9845086879,807607,0.0000,1.0
2020-10-06,70.18,70.3,70.15,70.23,70.0843012284,531729,0.0000,1.0
2020-10-05,70.3,70.3,70.15,70.16,70.01444645,576662,0.0000,1.0
2020-10-02,70.45,70.455,70.35,70.39,70.2439692933,840583,0.0000,1.0
2020-10-01,70.34,70.46,70.31,70.41,70.2639278014,883546,0.0755,1.0
2020-09-30,70.56,70.56,70.44,70.48,70.2584450907,757552,0.0000,1.0
2020-09-29,70.57,70.61,70.56,70.58,70.3581307393,897784,0.0000,1.0
2020-09-28,70.54,70.55,70.52,70.54,70.3182564798,645356,0.0000,1.0
2020-09-25,70.5445,70.56,70.52,70.55,70.3282250447,1153544,0.0000,1.0
2020-09-24,70.5,70.52,70.485,70.51,70.2883507853,611558,0.0000,1.0
2020-09-23,70.47,70.52,70.45,70.51,70.2883507853,1741111,0.0000,1.0
2020-09-22,70.5,70.53,70.48,70.48,70.2584450907,485945,0.0000,1.0
2020-09-21,70.52,70.55,70.47,70.49,70.2684136556,452639,0.0000,1.0
2020-09-18,70.48,70.4899,70.42,70.44,70.2185708313,707416,0.0000,1.0
2020-09-17,70.53,70.54,70.45,70.46,70.238507961,436384,0.0000,1.0
2020-09-16,70.52,70.52,70.42,70.45,70.2285393962,441707,0.0000,1.0
2020-09-15,70.48,70.5,70.45,70.48,70.2584450907,458399,0.0000,1.0
2020-09-14,70.54,70.55,70.48,70.51,70.2883507853,400305,0.0000,1.0
2020-09-11,70.49,70.54,70.48,70.54,70.3182564798,1112078,0.0000,1.0
2020-09-10,70.4,70.49,70.3699,70.48,70.2584450907,367956,0.0000,1.0
2020-09-09,70.4562,70.47,70.38,70.42,70.1986337016,593408,0.0000,1.0
2020-09-08,70.41,70.49,70.41,70.44,70.2185708313,621534,0.0000,1.0
2020-09-04,70.48,70.49,70.31,70.36,70.1388223125,515994,0.0000,1.0
2020-09-03,70.55,70.64,70.5369,70.55,70.3282250447,1214006,0.0000,1.0
2020-09-02,70.46,70.54,70.45,70.52,70.2983193501,483768,0.0000,1.0
2020-09-01,70.38,70.5,70.3401,70.49,70.2684136556,1089452,0.0816,1.0
2020-08-31,70.44,70.53,70.24,70.46,70.1572931062,475317,0.0000,1.0
2020-08-28,70.43,70.48,70.39,70.42,70.1174649523,431285,0.0000,1.0
2020-08-27,70.51,70.51,70.32,70.34,70.0378086445,531633,0.0000,1.0
2020-08-26,70.42,70.45,70.35,70.43,70.1274219908,496166,0.0000,1.0
2020-08-25,70.39,70.46,70.34,70.44,70.1373790292,693494,0.0000,1.0
2020-08-24,70.55,70.59,70.509,70.51,70.2070782986,311277,0.0000,1.0
2020-08-21,70.57,70.58,70.5121,70.56,70.2568634909,1493178,0.0000,1.0
2020-08-20,70.56,70.57,70.52,70.55,70.2469064525,410704,0.0000,1.0
2020-08-19,70.51,70.54,70.44,70.45,70.1473360677,331429,0.0000,1.0
2020-08-18,70.47,70.53,70.45,70.51,70.2070782986,567207,0.0000,1.0
2020-08-17,70.46,70.505,70.435,70.44,70.1373790292,386461,0.0000,1.0
2020-08-14,70.39,70.4268,70.3735,70.38,70.0776367984,347646,0.0000,1.0
2020-08-13,70.41,70.44,70.3,70.35,70.0477656829,792193,0.0000,1.0
2020-08-12,70.43,70.46,70.37,70.42,70.1174649523,1570936,0.0000,1.0
2020-08-11,70.53,70.55,70.43,70.54,70.236949414,562363,0.0000,1.0
2020-08-10,70.74,70.76,70.65,70.65,70.3464768372,355870,0.0000,1.0
2020-08-07,70.79,70.81,70.68,70.7,70.3962620296,747875,0.0000,1.0
2020-08-06,70.81,70.8572,70.75,70.76,70.4560042605,394914,0.0000,1.0
2020-08-05,70.78,70.78,70.711,70.73,70.426133145,769781,0.0000,1.0
2020-08-04,70.78,70.865,70.78,70.85,70.5456176068,1044928,0.0000,1.0
2020-08-03,70.71,70.75,70.685,70.75,70.446047222,1721364,0.0848,1.0
2020-07-31,70.79,70.86,70.75,70.82,70.4313284468,630359,0.0000,1.0
2020-07-30,70.8,70.81,70.7655,70.81,70.4213833284,645258,0.0000,1.0
2020-07-29,70.69,70.75,70.66,70.74,70.3517674997,754903,0.0000,1.0
2020-07-28,70.64,70.68,70.62,70.67,70.2821516709,957186,0.0000,1.0
2020-07-27,70.65,70.67,70.56,70.57,70.182700487,462894,0.0000,1.0
2020-07-24,70.64,70.67,70.62,70.64,70.2523163157,456955,0.0000,1.0
2020-07-23,70.65,70.67,70.615,70.65,70.2622614341,1412397,0.0000,1.0
2020-07-22,70.65,70.66,70.61,70.62,70.232426079,1287418,0.0000,1.0
2020-07-21,70.58,70.64,70.58,70.62,70.232426079,411748,0.0000,1.0
2020-07-20,70.61,70.62,70.54,70.58,70.1926456054,432494,0.0000,1.0
2020-07-17,70.6,70.6,70.54,70.57,70.182700487,602255,0.0000,1.0
2020-07-16,70.6,70.63,70.56,70.56,70.1727553686,1688023,0.0000,1.0
2020-07-15,70.5,70.58,70.49,70.54,70.1528651318,535322,0.0000,1.0
2020-07-14,70.58,70.61,70.53,70.54,70.1528651318,598200,0.0000,1.0
2020-07-13,70.44,70.56,70.44,70.55,70.1628102502,525797,0.0000,1.0
2020-07-10,70.59,70.63,70.49,70.5,70.1130846583,461765,0.0000,1.0
2020-07-09,70.48,70.62,70.48,70.58,70.1926456054,1393191,0.0000,1.0
2020-07-08,70.47,70.52,70.44,70.49,70.1031395399,698311,0.0000,1.0
2020-07-07,70.43,70.54,70.42,70.54,70.1528651318,513966,0.0000,1.0
2020-07-06,70.42,70.43,70.36,70.42,70.0335237111,746299,0.0000,1.0
2020-07-02,70.38,70.51,70.35,70.51,70.1230297767,545242,0.0000,1.0
2020-07-01,70.43,70.44,70.36,70.42,70.0335237111,1164097,0.0857,1.0
2020-06-30,70.65,70.67,70.55,70.57,70.0973930944,581125,0.0000,1.0
2020-06-29,70.56,70.63,70.56,70.63,70.1569912747,732215,0.0000,1.0
2020-06-26,70.5,70.59,70.49,70.56,70.0874600643,731159,0.0000,1.0
2020-06-25,70.51,70.51,70.44,70.46,69.9881297638,623457,0.0000,1.0
2020-06-24,70.37,70.47,70.35,70.46,69.9881297638,846720,0.0000,1.0
2020-06-23,70.37,70.4,70.34,70.37,69.8987324933,587817,0.0000,1.0
2020-06-22,70.44,70.47,70.36,70.39,69.9185985534,578403,0.0000,1.0
2020-06-19,70.34,70.45,70.32,70.42,69.9483976436,1487233,0.0000,1.0
2020-06-18,70.4,70.43,70.37,70.4,69.9285315835,291174,0.0000,1.0
2020-06-17,70.34,70.35,70.27,70.33,69.8590003731,465168,0.0000,1.0
2020-06-16,70.22,70.37,70.2,70.3,69.8292012829,529825,0.0000,1.0
2020-06-15,70.45,70.47,70.35,70.36,69.8887994632,634121,0.0000,1.0
2020-06-12,70.39,70.46,70.35,70.38,69.9086655233,2019913,0.0000,1.0
2020-06-11,70.48,70.52,70.42,70.43,69.9583306736,1609655,0.0000,1.0
2020-06-10,70.17,70.38,70.14,70.38,69.9086655233,660900,0.0000,1.0
2020-06-09,70.03,70.16,70.02,70.06,69.5908085616,844102,0.0000,1.0
2020-06-08,69.82,69.94,69.82,69.9,69.4318800807,1015536,0.0000,1.0
2020-06-05,69.82,69.89,69.73,69.86,69.3921479605,720682,0.0000,1.0
2020-06-04,70.15,70.15,70.02,70.07,69.6007415917,561419,0.0000,1.0
2020-06-03,70.31,70.32,70.15,70.21,69.7398040124,713535,0.0000,1.0
2020-06-02,70.43,70.48,70.39,70.44,69.9682637037,1166885,0.0000,1.0
2020-06-01,70.45,70.49,70.4,70.49,70.0179288539,1204094,0.0947,1.0
2020-05-29,70.51,70.6,70.48,70.59,70.0231862967,1413259,0.0000,1.0
2020-05-28,70.42,70.47,70.4,70.47,69.904149856,1482449,0.0000,1.0
2020-05-27,70.43,70.56,70.42,70.46,69.8942301526,1039580,0.0000,1.0
2020-05-26,70.42,70.47,70.39,70.47,69.904149856,1703280,0.0000,1.0
2020-05-22,70.51,70.56,70.5,70.56,69.9934271866,598185,0.0000,1.0
2020-05-21,70.46,70.53,70.44,70.47,69.904149856,883601,0.0000,1.0
2020-05-20,70.42,70.52,70.37,70.47,69.904149856,677995,0.0000,1.0
2020-05-19,70.32,70.47,70.32,70.47,69.904149856,497891,0.0000,1.0
2020-05-18,70.5,70.5,70.28,70.33,69.7652740084,846760,0.0000,1.0
2020-05-15,70.65,70.66,70.54,70.57,70.00334689,407100,0.0000,1.0
2020-05-14,70.57,70.65,70.57,70.59,70.0231862967,460771,0.0000,1.0
2020-05-13,70.51,70.58,70.47,70.54,69.9735877798,531889,0.0000,1.0
2020-05-12,70.29,70.47,70.28,70.45,69.8843104492,984797,0.0000,1.0
2020-05-11,70.46,70.46,70.3,70.35,69.7851134152,602100,0.0000,1.0
2020-05-08,70.49,70.63,70.42,70.44,69.8743907458,434500,0.0000,1.0
2020-05-07,70.34,70.58,70.32,70.55,69.9835074832,496966,0.0000,1.0
2020-05-06,70.2,70.33,70.18,70.31,69.7454346016,542322,0.0000,1.0
2020-05-05,70.34,70.4,70.3,70.39,69.8247922288,621933,0.0000,1.0
2020-05-04,70.38,70.44,70.34,70.41,69.8446316356,672521,0.0000,1.0
2020-05-01,70.42,70.46,70.33,70.39,69.8247922288,2068295,0.0933,1.0
2020-04-30,70.53,70.62,70.43,70.43,69.7719901973,1062457,0.0000,1.0
2020-04-29,70.53,70.58,70.44,70.5,69.8413362049,603184,0.0000,1.0
2020-04-28,70.42,70.56,70.42,70.51,69.8512427774,1940495,0.0000,1.0
2020-04-27,70.45,70.5,70.33,70.35,69.6927376172,4883202,0.0000,1.0
2020-04-24,70.46,70.54,70.45,70.53,69.8710559224,702148,0.0000,1.0
2020-04-23,70.48,70.53,70.42,70.53,69.8710559224,494890,0.0000,1.0
2020-04-22,70.53,70.57,70.43,70.51,69.8512427774,525073,0.0000,1.0
2020-04-21,70.7,70.73,70.57,70.63,69.9701216475,1215472,0.0000,1.0
2020-04-20,70.52,70.55,70.45,70.54,69.8809624949,905947,0.0000,1.0
2020-04-17,70.53,70.65,70.43,70.46,69.8017099148,687917,0.0000,1.0
2020-04-16,70.59,70.64,70.52,70.56,69.9007756399,1989041,0.0000,1.0
2020-04-15,70.42,70.59,70.42,70.53,69.8710559224,997921,0.0000,1.0
2020-04-14,70.2,70.27,70.16,70.23,69.573858747,2602464,0.0000,1.0
2020-04-13,70.19,70.24,70.11,70.13,69.4747930219,1133902,0.0000,1.0
2020-04-09,70.07,70.28,70.04,70.2,69.5441390295,735001,0.0000,1.0
2020-04-08,70.02,70.15,69.99,70.08,69.4252601594,775409,0.0000,1.0
2020-04-07,70.0,70.1,69.87,70.06,69.4054470144,1448880,0.0000,1.0
2020-04-06,70.28,70.36,70.2,70.25,69.5936718921,1255118,0.0000,1.0
2020-04-03,70.47,70.6,70.41,70.46,69.8017099148,1500535,0.0000,1.0
2020-04-02,70.53,70.7,70.36,70.44,69.7818967698,1141719,0.0000,1.0
2020-04-01,70.52,70.69,70.4,70.51,69.8512427774,4537038,0.1074,1.0
2020-03-31,70.44,70.61,70.39,70.55,69.7845740277,917081,0.0000,1.0
