timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,96.71,97.13,96.5104,96.82,96.82,230485,0.0000,1.0
2020-12-10,95.85,96.52,95.69,96.45,96.45,331045,0.0000,1.0
2020-12-09,95.47,95.921,95.2,95.64,95.64,222609,0.0000,1.0
2020-12-08,96.07,96.38,95.89,95.92,95.92,246881,0.0000,1.0
2020-12-07,95.38,95.69,95.29,95.51,95.51,241102,0.0000,1.0
2020-12-04,95.01,95.05,94.465,94.69,94.69,261866,0.0000,1.0
2020-12-03,95.72,96.23,95.55,96.09,96.09,247224,0.0000,1.0
2020-12-02,95.71,95.73,94.88,95.33,95.33,320607,0.0000,1.0
2020-12-01,96.68,96.79,95.595,96.07,96.07,391156,0.1331,1.0
2020-11-30,97.6,97.88,97.45,97.55,97.4150365217,304996,0.0000,1.0
2020-11-27,97.33,97.745,97.33,97.69,97.5548428273,482049,0.0000,1.0
2020-11-25,97.13,97.5,96.79,96.83,96.6960326642,201289,0.0000,1.0
2020-11-24,97.53,97.57,96.96,97.08,96.9456867814,414196,0.0000,1.0
2020-11-23,98.01,98.1283,97.7276,97.99,97.8544277679,286282,0.0000,1.0
2020-11-20,97.86,98.46,97.79,98.44,98.3038051788,372324,0.0000,1.0
2020-11-19,97.53,97.9348,97.47,97.62,97.4849396745,211944,0.0000,1.0
2020-11-18,97.23,97.3,96.605,97.1,96.9656591108,303185,0.0000,1.0
2020-11-17,96.82,97.025,96.7275,96.89,96.7559496524,171166,0.0000,1.0
2020-11-16,96.2,96.54,96.15,96.26,96.1268212771,611956,0.0000,1.0
2020-11-13,96.58,96.75,96.33,96.45,96.3165584061,374151,0.0000,1.0
2020-11-12,95.76,96.62,95.64,96.59,96.4563647117,1201497,0.0000,1.0
2020-11-11,94.65,95.18,94.61,95.08,94.948453844,942486,0.0000,1.0
2020-11-10,94.63,95.1,94.5,94.78,94.6488689034,414515,0.0000,1.0
2020-11-09,95.2,95.3,94.42,95.29,95.1581633024,711977,0.0000,1.0
2020-11-06,97.34,97.51,96.95,97.25,97.1154515811,389562,0.0000,1.0
2020-11-05,98.52,98.58,97.92,98.37,98.233902026,455152,0.0000,1.0
2020-11-04,98.5,98.84,97.91,98.19,98.0541510617,707826,0.0000,1.0
2020-11-03,96.29,96.37,95.84,96.19,96.0569181243,2808897,0.0000,1.0
2020-11-02,96.8,97.08,96.59,96.71,96.576198688,592909,0.1357,1.0
2020-10-30,97.03,97.22,96.215,96.24,95.9721842243,1226296,0.0000,1.0
2020-10-29,98.08,98.11,96.76,97.17,96.899596229,435564,0.0000,1.0
2020-10-28,98.465,98.51,97.8,98.11,97.8369804057,422109,0.0000,1.0
2020-10-27,97.79,98.06,97.61,97.98,97.7073421685,821061,0.0000,1.0
2020-10-26,97.21,97.74,97.07,97.37,97.0990396708,294190,0.0000,1.0
2020-10-23,95.8,96.58,95.78,96.47,96.2015441824,330910,0.0000,1.0
2020-10-22,96.66,96.83,95.91,95.92,95.6530747173,283625,0.0000,1.0
2020-10-21,96.98,97.27,96.74,96.91,96.6403197545,499132,0.0000,1.0
2020-10-20,97.59,97.73,97.07,97.25,96.9793736057,471422,0.0000,1.0
2020-10-19,97.95,98.22,97.7,98.12,97.8469525778,224698,0.0000,1.0
2020-10-16,98.61,99.0,98.25,98.49,98.2159229453,828298,0.0000,1.0
2020-10-15,99.46,99.49,98.61,98.76,98.4851715918,191515,0.0000,1.0
2020-10-14,99.05,99.25,98.815,98.91,98.6347541732,202457,0.0000,1.0
2020-10-13,98.34,98.72,98.34,98.71,98.4353107313,1895971,0.0000,1.0
2020-10-12,97.89,98.0955,97.728,97.98,97.7073421685,187535,0.0000,1.0
2020-10-09,97.35,97.81,97.0,97.71,97.438093522,329639,0.0000,1.0
2020-10-08,97.64,97.79,97.48,97.75,97.4779822104,185090,0.0000,1.0
2020-10-07,97.42,97.89,97.0,97.22,96.9494570894,228400,0.0000,1.0
2020-10-06,97.27,98.42,96.91,97.96,97.6873978243,218420,0.0000,1.0
2020-10-05,98.23,98.23,97.39,97.43,97.1588727034,692213,0.0000,1.0
2020-10-02,99.81,99.81,98.96,99.29,99.0136967127,949266,0.0000,1.0
2020-10-01,99.09,99.87,98.9,99.7,99.4225557685,306462,0.1345,1.0
2020-09-30,100.03,100.03,99.165,99.66,99.2487758029,772377,0.0000,1.0
2020-09-29,100.54,100.77,100.39,100.5,100.085309735,191913,0.0000,1.0
2020-09-28,100.51,100.58,100.28,100.41,99.9956810994,606532,0.0000,1.0
