timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,12.4,12.62,12.35,12.47,12.47,511813,0.0000,1.0
2020-12-10,12.28,12.4,12.19,12.4,12.4,477336,0.0000,1.0
2020-12-09,12.26,12.35,12.13,12.33,12.33,585811,0.0000,1.0
2020-12-08,11.78,12.22,11.78,12.17,12.17,517004,0.0000,1.0
2020-12-07,11.72,11.96,11.71,11.9,11.9,495400,0.0000,1.0
2020-12-04,11.51,11.77,11.43,11.68,11.68,546539,0.0000,1.0
2020-12-03,11.28,11.4735,11.25,11.36,11.36,464683,0.0000,1.0
2020-12-02,11.33,11.39,11.13,11.27,11.27,358891,0.0000,1.0
2020-12-01,11.38,11.61,11.2,11.34,11.34,442241,0.0000,1.0
2020-11-30,11.21,11.32,11.15,11.24,11.24,656937,0.0000,1.0
2020-11-27,11.31,11.3471,11.115,11.27,11.27,249994,0.0000,1.0
2020-11-25,11.59,11.59,11.3,11.37,11.37,413812,0.0000,1.0
2020-11-24,11.4,11.75,11.305,11.64,11.64,870920,0.0000,1.0
2020-11-23,11.06,11.3,10.76,11.21,11.21,737189,0.0000,1.0
2020-11-20,11.21,11.35,11.05,11.05,11.05,657032,0.0000,1.0
2020-11-19,11.32,11.46,11.17,11.29,11.29,467181,0.0000,1.0
2020-11-18,11.98,12.0,11.38,11.38,11.38,846707,0.0000,1.0
2020-11-17,11.52,11.99,11.52,11.9,11.9,902627,0.0000,1.0
2020-11-16,11.39,11.71,11.29,11.71,11.71,670690,0.0000,1.0
2020-11-13,10.95,11.28,10.93,11.25,11.25,958303,0.0000,1.0
2020-11-12,11.11,11.19,10.75,10.82,10.82,646088,0.0000,1.0
2020-11-11,11.19,11.2601,10.9001,11.26,11.26,608469,0.0000,1.0
2020-11-10,10.66,11.24,10.54,11.2,11.2,1064921,0.0000,1.0
2020-11-09,10.33,10.98,10.33,10.58,10.58,1110543,0.0000,1.0
2020-11-06,9.95,10.2,9.69,9.97,9.97,909297,0.0000,1.0
2020-11-05,9.47,10.1682,9.45,9.94,9.94,801286,0.0000,1.0
2020-11-04,9.55,9.61,9.34,9.38,9.38,788246,0.0000,1.0
2020-11-03,9.5,9.81,9.5,9.7,9.7,696404,0.0000,1.0
2020-11-02,9.23,9.33,9.015,9.33,9.33,782913,0.0000,1.0
2020-10-30,9.22,9.36,9.11,9.19,9.19,1010880,0.0000,1.0
2020-10-29,9.45,9.45,9.15,9.26,9.26,1134333,0.0000,1.0
2020-10-28,10.0,10.1,9.485,9.49,9.49,720924,0.0000,1.0
2020-10-27,10.36,10.47,10.15,10.15,10.15,557737,0.0000,1.0
2020-10-26,10.25,10.395,10.13,10.37,10.37,421857,0.0000,1.0
2020-10-23,10.3,10.39,10.23,10.31,10.31,275724,0.0000,1.0
2020-10-22,10.07,10.24,10.0242,10.2,10.2,378742,0.0000,1.0
2020-10-21,10.05,10.12,10.01,10.03,10.03,386251,0.0000,1.0
2020-10-20,10.27,10.36,10.07,10.08,10.08,426154,0.0000,1.0
2020-10-19,10.5,10.52,10.15,10.17,10.17,486399,0.0000,1.0
2020-10-16,10.52,10.61,10.469,10.48,10.48,440796,0.0000,1.0
2020-10-15,10.33,10.56,10.24,10.54,10.54,585830,0.0000,1.0
2020-10-14,10.5,10.55,10.38,10.38,10.38,339983,0.0000,1.0
2020-10-13,10.74,10.84,10.52,10.53,10.53,610763,0.0000,1.0
2020-10-12,10.85,11.005,10.76,10.89,10.89,562006,0.0000,1.0
