timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,91.28,91.63,90.84,91.5,91.5,1145620,0.0000,1.0
2020-12-10,91.81,92.0,91.47,91.85,91.85,1443668,0.0000,1.0
2020-12-09,92.34,92.55,91.66,92.1,92.1,1247010,0.0000,1.0
2020-12-08,91.06,92.18,91.01,92.04,92.04,1286107,0.0000,1.0
2020-12-07,91.72,91.725,91.15,91.46,91.46,1550707,0.0000,1.0
2020-12-04,91.11,92.07,91.1,92.07,92.07,1798224,0.0000,1.0
2020-12-03,90.76,91.18,90.45,90.77,90.77,1271496,0.0000,1.0
2020-12-02,90.11,90.7506,90.0232,90.7,90.7,1057526,0.0000,1.0
2020-12-01,90.38,91.02,90.1399,90.16,90.16,1284678,0.0000,1.0
2020-11-30,90.04,90.08,89.115,89.29,89.29,2492789,0.0000,1.0
2020-11-27,90.66,90.74,90.11,90.34,90.34,661645,0.0000,1.0
2020-11-25,90.77,90.77,90.102,90.45,90.45,1285522,0.0000,1.0
2020-11-24,89.96,91.06,89.895,91.04,91.04,1813932,0.0000,1.0
2020-11-23,88.44,89.13,88.265,89.0,89.0,1310104,0.0000,1.0
2020-11-20,88.16,88.34,87.71,87.85,87.85,1068218,0.0000,1.0
2020-11-19,87.85,88.2678,87.28,88.18,88.18,1169324,0.0000,1.0
2020-11-18,89.3,89.552,87.95,87.97,87.97,1526952,0.0000,1.0
2020-11-17,88.77,89.27,88.26,88.95,88.95,1215954,0.0000,1.0
2020-11-16,89.34,89.47,88.5739,89.4,89.4,1766464,0.0000,1.0
2020-11-13,86.88,88.125,86.82,87.84,87.84,1466223,0.0000,1.0
2020-11-12,87.09,87.09,85.7,86.35,86.35,2780083,0.0000,1.0
2020-11-11,88.38,88.38,87.21,87.65,87.65,1404732,0.0000,1.0
2020-11-10,87.12,87.97,86.7,87.78,87.78,1992153,0.0000,1.0
2020-11-09,87.47,88.62,86.51,86.56,86.56,2672177,0.0000,1.0
