timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,22.06,22.39,21.93,22.06,22.06,2135119,0.0000,1.0
2020-12-10,22.49,22.5,21.955,22.18,22.18,1512775,0.0000,1.0
2020-12-09,21.95,22.58,21.92,22.51,22.51,1857618,0.0000,1.0
2020-12-08,22.09,22.22,21.82,21.95,21.95,1177650,0.0000,1.0
2020-12-07,22.14,22.24,21.9,22.02,22.02,1093814,0.0000,1.0
2020-12-04,21.91,22.275,21.8595,22.19,22.19,1375215,0.0000,1.0
2020-12-03,21.71,22.02,21.65,21.81,21.81,1471884,0.0000,1.0
2020-12-02,22.03,22.05,21.425,21.72,21.72,2203619,0.0000,1.0
2020-12-01,22.15,22.26,21.765,22.13,22.13,1973557,0.0000,1.0
2020-11-30,22.11,22.11,21.65,21.99,21.99,2065891,0.0700,1.0
2020-11-27,22.19,22.34,22.06,22.15,22.0797144152,939242,0.0000,1.0
2020-11-25,22.29,22.45,22.1,22.17,22.0996509519,1642322,0.0000,1.0
2020-11-24,22.18,22.4025,22.0,22.34,22.2691115141,2478405,0.0000,1.0
2020-11-23,22.65,22.77,21.9,21.97,21.9002855848,3688914,0.0000,1.0
2020-11-20,22.5,22.63,22.31,22.51,22.4385720762,1669765,0.0000,1.0
2020-11-19,22.19,22.59,22.08,22.58,22.5083499547,2090589,0.0000,1.0
2020-11-18,22.73,22.75,22.1,22.2,22.129555757,3455677,0.0000,1.0
2020-11-17,23.13,23.3,22.75,22.78,22.7077153218,1809174,0.0000,1.0
2020-11-16,22.93,23.19,22.72,23.17,23.0964777879,2066271,0.0000,1.0
2020-11-13,23.01,23.2,22.67,22.68,22.6080326383,1649768,0.0000,1.0
2020-11-12,23.47,23.58,22.865,23.03,22.9569220308,3334185,0.0000,1.0
2020-11-11,22.82,23.25,22.52,23.21,23.1363508613,3695905,0.0000,1.0
2020-11-10,22.46,22.91,22.16,22.74,22.6678422484,3092202,0.0000,1.0
2020-11-09,22.96,23.11,22.29,22.43,22.3588259293,4357121,0.0000,1.0
2020-11-06,22.12,23.63,21.96,22.24,22.1694288305,4297427,0.0000,1.0
2020-11-05,22.29,22.72,21.44,22.18,22.1096192203,6213884,0.0000,1.0
2020-11-04,22.28,22.56,21.7,21.79,21.7208567543,7854187,0.0000,1.0
2020-11-03,22.39,23.35,22.2,23.14,23.0665729828,4327547,0.0000,1.0
2020-11-02,21.94,22.67,21.9,22.14,22.0697461469,3236840,0.0000,1.0
2020-10-30,22.13,22.47,21.685,21.85,21.7806663645,2346098,0.0000,1.0
2020-10-29,22.3,22.68,22.02,22.3,22.2292384406,2323785,0.0000,1.0
2020-10-28,23.1923,23.1923,22.28,22.28,22.2093019039,2180064,0.0000,1.0
2020-10-27,23.32,23.62,23.17,23.53,23.4553354488,1811413,0.0000,1.0
2020-10-26,23.62,23.78,23.01,23.3,23.2260652765,3681095,0.0000,1.0
2020-10-23,24.23,24.23,23.645,23.68,23.6048594742,2115186,0.0000,1.0
2020-10-22,23.91,24.19,23.55,24.135,24.0584156845,2921181,0.0000,1.0
2020-10-21,23.98,24.06,23.75,23.93,23.8540661831,1149708,0.0000,1.0
2020-10-20,24.23,24.33,23.91,23.975,23.8989233908,1808439,0.0000,1.0
2020-10-19,24.3,24.38,23.94,24.02,23.9437805984,1219742,0.0000,1.0
2020-10-16,24.82,24.91,24.155,24.19,24.1132411605,1440485,0.0000,1.0
2020-10-15,23.88,24.74,23.76,24.71,24.6315911151,1659740,0.0000,1.0
2020-10-14,24.1,24.23,23.93,24.11,24.0334950136,1133455,0.0000,1.0
2020-10-13,23.77,24.19,23.66,24.08,24.0035902085,1701139,0.0000,1.0
2020-10-12,24.41,24.4464,23.79,23.81,23.7344469628,1938435,0.0000,1.0
2020-10-09,23.96,24.7,23.86,24.31,24.2328603808,4300262,0.0000,1.0
2020-10-08,23.38,23.87,23.38,23.785,23.7095262919,1855794,0.0000,1.0
2020-10-07,23.25,23.4,23.11,23.29,23.2160970082,1921452,0.0000,1.0
2020-10-06,23.65,23.82,22.91,23.0,22.9270172257,2038462,0.0000,1.0
2020-10-05,23.0435,23.66,23.04,23.55,23.4752719855,1910048,0.0000,1.0
2020-10-02,22.39,23.34,22.33,23.18,23.1064460562,2011556,0.0000,1.0
2020-10-01,22.44,22.95,22.4,22.86,22.7874614687,2397703,0.0000,1.0
2020-09-30,22.4,22.58,22.23,22.295,22.2242543064,2459770,0.0000,1.0
2020-09-29,22.08,22.44,21.74,22.35,22.2790797824,3184323,0.0000,1.0
2020-09-28,21.5,22.195,21.5,22.15,22.0797144152,2661931,0.0000,1.0
2020-09-25,21.2,21.46,21.03,21.34,21.2722846782,2070566,0.0000,1.0
2020-09-24,21.0,21.56,20.77,21.2,21.1327289211,3612685,0.0000,1.0
2020-09-23,21.05,21.39,20.75,21.01,20.9433318223,4406175,0.0000,1.0
2020-09-22,20.6901,21.09,20.51,21.07,21.0031414325,3501396,0.0000,1.0
2020-09-21,20.65,20.76,20.23,20.66,20.5944424297,2080996,0.0000,1.0
2020-09-18,21.26,21.53,20.87,20.955,20.8885063463,4219241,0.0000,1.0
2020-09-17,20.91,21.475,20.85,21.25,21.1825702629,3695075,0.0000,1.0
2020-09-16,21.89,21.89,20.95,21.11,21.0430145059,4445075,0.0000,1.0
2020-09-15,22.1,22.26,21.75,21.86,21.7906346328,2596805,0.0000,1.0
2020-09-14,21.63,22.1,21.63,22.03,21.9600951949,3640814,0.0000,1.0
2020-09-11,22.01,22.01,21.17,21.47,21.4018721668,2329090,0.0000,1.0
2020-09-10,22.55,23.04,21.84,21.85,21.7806663645,2794597,0.0000,1.0
2020-09-09,22.0,22.61,21.8322,22.495,22.4236196736,2847734,0.0000,1.0
2020-09-08,21.43,22.05,21.23,21.85,21.7806663645,3442491,0.0000,1.0
2020-09-04,22.2,22.38,21.405,21.58,21.5115231188,3352744,0.0000,1.0
2020-09-03,21.95,22.48,21.645,21.95,21.8803490481,4282841,0.0000,1.0
2020-09-02,21.01,22.08,21.01,21.97,21.9002855848,3815808,0.0000,1.0
2020-09-01,20.94,21.16,20.74,20.95,20.8835222121,2930926,0.0000,1.0
2020-08-31,21.6,21.64,20.93,20.94,20.8735539438,2666316,0.0500,1.0
2020-08-28,21.66,21.87,21.42,21.72,21.5995041286,2586863,0.0000,1.0
2020-08-27,21.27,21.795,21.25,21.51,21.3906691439,2322333,0.0000,1.0
2020-08-26,21.43,21.445,21.1,21.24,21.1221670208,2373660,0.0000,1.0
2020-08-25,21.54,21.585,21.22,21.42,21.3011684362,3160478,0.0000,1.0
2020-08-24,21.83,21.905,21.24,21.45,21.3310020054,3940707,0.0000,1.0
2020-08-21,21.8,22.055,21.63,21.79,21.6691157901,2611272,0.0000,1.0
2020-08-20,21.0035,21.9,20.89,21.68,21.5597260363,4174672,0.0000,1.0
2020-08-19,21.52,21.79,21.16,21.18,21.0624998823,5193134,0.0000,1.0
2020-08-18,21.28,21.68,21.13,21.59,21.4702253286,7570959,0.0000,1.0
2020-08-17,21.85,21.85,20.93,21.31,21.1917786823,6732937,0.0000,1.0
2020-08-14,22.28,22.52,21.9016,21.99,21.8680062517,4268751,0.0000,1.0
2020-08-13,22.25,22.8,22.17,22.37,22.2458981288,2328786,0.0000,1.0
2020-08-12,22.26,22.37,22.03,22.19,22.0668967133,2327124,0.0000,1.0
2020-08-11,22.12,22.43,21.55,22.07,21.9475624364,3406173,0.0000,1.0
2020-08-10,22.34,22.615,21.67,21.98,21.8580617287,3014367,0.0000,1.0
2020-08-07,22.19,22.7,22.1,22.34,22.2160645595,2612241,0.0000,1.0
2020-08-06,22.62,22.62,21.9499,22.25,22.1265638518,5247605,0.0000,1.0
2020-08-05,23.78,23.89,22.055,22.39,22.2657871749,6139847,0.0000,1.0
2020-08-04,23.29,23.84,23.22,23.81,23.6779094522,3666407,0.0000,1.0
2020-08-03,23.39,23.41,22.965,23.05,22.9221256982,3654521,0.0000,1.0
2020-07-31,23.27,23.27,22.65,23.18,23.0514044982,2639097,0.0000,1.0
2020-07-30,23.22,23.295,22.74,23.15,23.021570929,2863853,0.0000,1.0
2020-07-29,23.32,23.55,23.11,23.43,23.3000175752,2801372,0.0000,1.0
2020-07-28,23.62,23.83,22.9,22.91,22.782902375,3525616,0.0000,1.0
2020-07-27,23.64,23.89,23.39,23.82,23.6878539753,1818696,0.0000,1.0
2020-07-24,23.0,23.58,22.74,23.45,23.3199066213,3991569,0.0000,1.0
2020-07-23,23.36,23.54,22.79,23.12,22.9917373597,2199436,0.0000,1.0
2020-07-22,22.69,23.42,22.69,23.35,23.2204613905,2053239,0.0000,1.0
2020-07-21,22.7,23.26,22.61,22.81,22.6834571443,2807064,0.0000,1.0
2020-07-20,22.2,22.4,21.96,22.28,22.156397421,1488172,0.0000,1.0
2020-07-17,22.26,22.47,22.05,22.41,22.2856762211,1295939,0.0000,1.0
2020-07-16,22.11,22.38,22.0,22.23,22.1066748056,1595963,0.0000,1.0
2020-07-15,22.08,22.52,21.93,22.45,22.3254543134,2360984,0.0000,1.0
2020-07-14,21.54,21.77,21.27,21.72,21.5995041286,1522982,0.0000,1.0
2020-07-13,22.21,22.4,21.41,21.43,21.3111129593,1935580,0.0000,1.0
2020-07-10,21.72,22.05,21.56,21.99,21.8680062517,1520912,0.0000,1.0
2020-07-09,22.24,22.25,21.55,21.63,21.5100034209,2567135,0.0000,1.0
2020-07-08,21.95,22.42,21.87,22.21,22.0867857595,1625804,0.0000,1.0
2020-07-07,22.47,22.69,21.89,21.96,21.8381726825,1807012,0.0000,1.0
2020-07-06,22.23,22.88,22.11,22.74,22.6138454827,2902404,0.0000,1.0
2020-07-02,22.52,22.61,21.81,21.89,21.7685610209,2349644,0.0000,1.0
2020-07-01,21.68,22.38,21.5,22.26,22.1365083749,2997558,0.0000,1.0
2020-06-30,21.62,22.07,21.41,21.78,21.6591712671,5399500,0.0000,1.0
2020-06-29,21.24,21.96,20.82,21.66,21.5398369901,2443000,0.0000,1.0
2020-06-26,20.83,21.3,20.74,21.06,20.9431656053,4386588,0.0000,1.0
2020-06-25,20.91,21.21,20.78,20.93,20.8138868053,2677278,0.0000,1.0
2020-06-24,21.72,21.89,20.93,21.24,21.1221670208,3241828,0.0000,1.0
2020-06-23,22.15,22.17,21.67,21.91,21.7884500671,2461526,0.0000,1.0
2020-06-22,21.71,22.11,21.51,21.95,21.8282281594,1846203,0.0000,1.0
2020-06-19,22.32,22.46,21.71,21.86,21.7387274517,3495664,0.0000,1.0
2020-06-18,21.74,22.11,21.42,22.05,21.9276733902,2144940,0.0000,1.0
2020-06-17,22.15,22.29,21.73,21.82,21.6989493594,2536530,0.0000,1.0
2020-06-16,22.5,22.5,21.7,22.04,21.9177288671,2476135,0.0000,1.0
2020-06-15,20.83,21.94,20.7,21.87,21.7486719748,2483969,0.0000,1.0
2020-06-12,21.92,22.0,20.98,21.74,21.6193931747,2474909,0.0000,1.0
2020-06-11,20.94,21.73,20.72,21.16,21.0426108361,2778114,0.0000,1.0
2020-06-10,23.31,23.33,22.03,22.24,22.1166193287,3599949,0.0000,1.0
2020-06-09,22.6,23.37,22.43,23.04,22.9121811751,2629825,0.0000,1.0
2020-06-08,23.3,23.34,22.15,22.65,22.524344775,3740778,0.0000,1.0
2020-06-05,22.71,23.44,22.64,22.85,22.7232352366,3511584,0.0000,1.0
2020-06-04,22.24,22.39,21.72,21.94,21.8182836363,3169897,0.0000,1.0
2020-06-03,22.13,22.59,21.84,22.18,22.0569521902,3046006,0.0000,1.0
2020-06-02,21.95,22.07,21.5,21.94,21.8182836363,3286652,0.0000,1.0
2020-06-01,21.31,22.0,21.31,21.9,21.778505544,2720960,0.0000,1.0
2020-05-29,21.08,21.57,21.05,21.26,21.1420560669,2890206,0.0500,1.0
2020-05-28,21.87,21.91,21.11,21.23,21.0626865463,2566884,0.0000,1.0
2020-05-27,21.03,21.82,20.7,21.78,21.6083520008,3248331,0.0000,1.0
2020-05-26,21.47,21.61,20.64,20.7,20.5368634719,3186392,0.0000,1.0
2020-05-22,20.83,20.99,20.48,20.86,20.6956025132,1763604,0.0000,1.0
2020-05-21,20.3,21.07,20.3,20.86,20.6956025132,2802254,0.0000,1.0
2020-05-20,20.62,20.69,20.26,20.46,20.2987549099,3108019,0.0000,1.0
2020-05-19,20.48,20.69,20.02,20.12,19.9614344471,4011339,0.0000,1.0
2020-05-18,21.6,21.81,20.34,20.57,20.4078880008,4412483,0.0000,1.0
2020-05-15,20.45,21.03,20.37,20.86,20.6956025132,4942969,0.0000,1.0
2020-05-14,20.01,20.66,19.51,20.64,20.4773363314,7711408,0.0000,1.0
2020-05-13,20.48,20.93,19.6,19.88,19.7233258851,4044711,0.0000,1.0
2020-05-12,21.31,21.59,20.78,20.78,20.6162329925,4435269,0.0000,1.0
2020-05-11,21.12,21.36,20.82,21.12,20.9535534554,5046507,0.0000,1.0
2020-05-08,20.85,21.55,20.6,21.44,21.271031538,5548801,0.0000,1.0
2020-05-07,20.63,20.86,20.11,20.48,20.31859729,4919203,0.0000,1.0
2020-05-06,20.59,20.83,19.61,20.21,20.0507251578,7874814,0.0000,1.0
2020-05-05,19.0,19.16,18.51,18.81,18.6617585462,8098837,0.0000,1.0
2020-05-04,18.88,19.29,18.73,19.28,19.1280544801,3723084,0.0000,1.0
2020-05-01,19.17,19.46,18.9,19.46,19.3066359016,3140916,0.0000,1.0
2020-04-30,19.8,20.3,19.45,19.86,19.7034835049,3821640,0.0000,1.0
2020-04-29,20.29,21.06,20.12,20.44,20.2789125297,7128035,0.0000,1.0
2020-04-28,20.45,20.56,19.47,19.79,19.6340351743,3269808,0.0000,1.0
2020-04-27,19.27,19.93,19.15,19.81,19.6538775545,6424507,0.0000,1.0
2020-04-24,18.33,18.96,18.13,18.91,18.760970447,4205496,0.0000,1.0
2020-04-23,18.55,18.59,17.95,18.23,18.0863295214,4401525,0.0000,1.0
2020-04-22,17.78,18.41,17.67,18.28,18.1359354718,3032694,0.0000,1.0
2020-04-21,17.61,18.04,17.25,17.42,17.2827131246,4165587,0.0000,1.0
2020-04-20,17.91,18.46,17.6,18.06,17.91766929,4967598,0.0000,1.0
2020-04-17,18.14,18.48,17.42,18.4,18.2549897528,4952725,0.0000,1.0
2020-04-16,16.72,17.42,16.23,17.28,17.1438164635,6353131,0.0000,1.0
2020-04-15,16.23,16.93,16.0,16.74,16.608072199,5330208,0.0000,1.0
2020-04-14,16.96,17.54,16.96,17.17,17.0346833726,3958707,0.0000,1.0
2020-04-13,17.0,17.14,16.02,16.57,16.4394119676,3101217,0.0000,1.0
2020-04-09,16.78,17.49,16.35,16.97,16.8362595709,8392852,0.0000,1.0
2020-04-08,15.25,16.51,15.09,16.04,15.9135888932,7120853,0.0000,1.0
2020-04-07,15.65,16.31,14.62,14.9,14.7825732237,7156580,0.0000,1.0
2020-04-06,13.75,14.85,13.53,14.44,14.3261984799,5574386,0.0000,1.0
2020-04-03,13.42,13.42,12.34,13.06,12.9570742484,6299487,0.0000,1.0
2020-04-02,13.75,14.09,12.77,13.35,13.2447887608,10196153,0.0000,1.0
2020-04-01,14.19,14.45,13.6,13.97,13.859902546,6165868,0.0000,1.0
2020-03-31,15.0,15.32,14.62,14.88,14.7627308435,5547713,0.0000,1.0
2020-03-30,13.78,15.0,13.33,14.97,14.8520215543,7415721,0.0000,1.0
2020-03-27,13.14,14.58,12.76,14.07,13.9591144468,8961552,0.0000,1.0
2020-03-26,14.49,15.13,13.68,13.95,13.8400601658,10686175,0.0000,1.0
2020-03-25,14.33,15.45,13.35,14.42,14.3063560997,10945880,0.0000,1.0
