timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,19.54,19.9491,19.5,19.72,19.72,3007,0.0000,1.0
2020-12-10,20.0,20.24,19.87,19.9,19.9,2134,0.0000,1.0
2020-12-09,20.05,20.05,19.65,19.75,19.75,2477,0.0000,1.0
2020-12-08,20.0,20.2,19.96,20.2,20.2,6207,0.0000,1.0
2020-12-07,19.35,20.61,19.2744,19.75,19.75,8993,0.0000,1.0
2020-12-04,19.39,19.39,18.99,19.3,19.3,1023,0.0000,1.0
2020-12-03,19.15,19.4,19.15,19.4,19.4,1237,0.0000,1.0
2020-12-02,19.37,19.37,19.36,19.36,19.36,761,0.0000,1.0
2020-12-01,19.0984,19.296,19.0856,19.296,19.296,2418,0.0000,1.0
2020-11-30,19.26,19.4,18.81,19.37,19.37,2780,0.0000,1.0
2020-11-27,19.2573,19.5809,19.02,19.02,19.02,3168,0.0000,1.0
2020-11-25,19.27,19.4211,19.27,19.4211,19.4211,652,0.0000,1.0
2020-11-24,19.48,19.48,19.255,19.255,19.255,759,0.0000,1.0
2020-11-23,19.5011,19.5011,19.32,19.32,19.32,1272,0.0000,1.0
2020-11-20,19.43,19.72,19.2101,19.2101,19.2101,1451,0.0000,1.0
2020-11-19,19.46,19.8,19.36,19.7893,19.7893,3580,0.0000,1.0
2020-11-18,19.99,19.99,19.53,19.69,19.69,4946,0.0000,1.0
2020-11-17,19.99,19.99,19.98,19.98,19.98,691,0.0000,1.0
2020-11-16,19.99,20.0699,19.7,20.0,20.0,4047,0.0000,1.0
2020-11-13,19.66,19.99,19.5311,19.9864,19.9864,5645,0.0000,1.0
2020-11-12,19.55,19.77,19.54,19.67,19.67,1605,0.0000,1.0
2020-11-11,20.14,20.14,19.3,19.7,19.7,13280,0.0000,1.0
2020-11-10,19.44,20.07,19.19,19.99,19.99,10889,0.0000,1.0
2020-11-09,19.51,19.91,17.51,18.1,18.1,8073,0.0000,1.0
2020-11-06,19.561,19.682,18.86,19.3,19.3,4037,0.0000,1.0
2020-11-05,19.61,19.73,19.61,19.73,19.73,1011,0.0000,1.0
2020-11-04,19.47,20.0,19.47,20.0,20.0,7017,0.0000,1.0
2020-11-03,20.01,20.01,19.35,19.39,19.39,2287,0.0000,1.0
2020-11-02,20.14,20.14,19.39,19.58,19.58,1907,0.0000,1.0
2020-10-30,20.3,20.3,19.0879,19.1343,19.1343,3163,0.0000,1.0
2020-10-29,20.22,20.75,19.97,20.4,20.4,2703,0.0000,1.0
2020-10-28,20.37,20.39,19.51,20.39,20.39,3963,0.0000,1.0
2020-10-27,20.67,20.67,19.76,20.3,20.3,2670,0.0000,1.0
2020-10-26,20.21,20.9,20.21,20.47,20.47,10452,0.0000,1.0
2020-10-23,20.04,20.04,20.04,20.04,20.04,335,0.0000,1.0
2020-10-22,20.07,20.275,20.0,20.275,20.275,2988,0.0000,1.0
2020-10-21,20.64,20.64,18.83,20.41,20.41,2518,0.0000,1.0
2020-10-20,19.95,20.805,19.71,20.38,20.38,20858,0.0000,1.0
2020-10-19,19.79,19.93,19.65,19.93,19.93,7322,0.0000,1.0
2020-10-16,19.21,19.37,19.21,19.32,19.32,865,0.0000,1.0
2020-10-15,19.2701,19.45,19.2701,19.45,19.45,2953,0.0000,1.0
2020-10-14,19.1,19.39,19.1,19.39,19.39,189830,0.0000,1.0
2020-10-13,19.3344,19.3344,19.1,19.2357,19.2357,4515,0.0000,1.0
2020-10-12,19.37,19.37,19.11,19.2983,19.2983,3648,0.0000,1.0
2020-10-09,19.49,19.5,19.0783,19.08,19.08,1597,0.0000,1.0
2020-10-08,19.5,19.5,18.9,19.4,19.4,1309,0.0000,1.0
2020-10-07,19.6,19.6,19.46,19.51,19.51,2258,0.0000,1.0
2020-10-06,19.71,19.71,19.01,19.69,19.69,1623,0.0000,1.0
2020-10-05,19.95,19.95,19.3284,19.71,19.71,3214,0.0000,1.0
2020-10-02,18.9577,19.45,18.9577,19.45,19.45,1417,0.0000,1.0
2020-10-01,20.0,20.0,19.3763,19.3763,19.3763,2048,0.0000,1.0
2020-09-30,19.49,19.73,19.0101,19.73,19.73,2854,0.0000,1.0
2020-09-29,19.06,19.4899,19.0002,19.06,19.06,3814,0.0000,1.0
2020-09-28,18.99,18.99,18.99,18.99,18.99,201,0.0000,1.0
2020-09-25,18.9439,18.9439,18.9439,18.9439,18.9439,324,0.0000,1.0
2020-09-24,18.6,19.155,18.6,18.9439,18.9439,878,0.0000,1.0
2020-09-23,19.01,19.1,18.496,18.5,18.5,2596,0.0000,1.0
