timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,61.17,62.44,60.78,60.96,60.96,884990,0.0000,1.0
2020-12-10,59.23,60.99,59.0,60.82,60.82,380206,0.0000,1.0
2020-12-09,61.12,61.12,59.73,59.83,59.83,332701,0.0000,1.0
2020-12-08,59.68,60.86,59.21,59.66,59.66,256005,0.0000,1.0
2020-12-07,58.43,60.19,58.0,60.08,60.08,446966,0.0000,1.0
2020-12-04,58.82,59.58,58.19,59.25,59.25,395864,0.0000,1.0
2020-12-03,57.66,58.89,56.85,57.79,57.79,371778,0.0000,1.0
2020-12-02,56.36,58.29,55.89,57.65,57.65,456557,0.0000,1.0
2020-12-01,56.18,56.76,55.05,55.89,55.89,366411,0.0000,1.0
2020-11-30,57.22,57.695,54.13,54.49,54.49,674245,0.0000,1.0
2020-11-27,58.33,59.98,56.8615,57.55,57.55,156777,0.0000,1.0
2020-11-25,58.15,58.905,57.63,58.7,58.7,400773,0.0000,1.0
2020-11-24,57.65,59.92,57.1644,59.34,59.34,593961,0.0000,1.0
2020-11-23,55.63,56.84,55.39,56.34,56.34,350536,0.0000,1.0
2020-11-20,54.96,55.49,54.09,54.76,54.76,458084,0.0000,1.0
2020-11-19,54.7,55.14,53.92,55.1,55.1,893135,0.0000,1.0
2020-11-18,56.29,56.4756,54.67,54.75,54.75,314837,0.0000,1.0
2020-11-17,54.05,56.07,53.64,55.74,55.74,535632,0.0000,1.0
2020-11-16,55.38,55.7699,53.92,55.2,55.2,418544,0.0000,1.0
2020-11-13,51.86,53.265,51.86,52.52,52.52,307619,0.0000,1.0
2020-11-12,50.57,52.105,50.4,51.28,51.28,386156,0.0000,1.0
2020-11-11,53.6,53.6,51.39,51.93,51.93,455312,0.0000,1.0
2020-11-10,53.15,54.6,52.63,53.7,53.7,679050,0.2800,1.0
2020-11-09,53.13,55.47,52.8,53.0,52.7250833642,661535,0.0000,1.0
2020-11-06,49.65,50.06,47.42,47.63,47.3829381252,294122,0.0000,1.0
2020-11-05,47.02,49.92,46.7654,49.2,48.9447943683,355579,0.0000,1.0
2020-11-04,49.58,49.58,46.54,46.54,46.2985920711,384960,0.0000,1.0
2020-11-03,51.0,51.55,50.21,50.9,50.6359762875,509814,0.0000,1.0
2020-11-02,50.22,50.85,48.96,50.23,49.9694516488,412003,0.0000,1.0
2020-10-30,48.09,49.31,47.58,49.23,48.9746387551,262097,0.0000,1.0
2020-10-29,45.94,48.51,45.095,48.34,48.0892552797,370951,0.0000,1.0
2020-10-28,45.83,47.11,45.5,46.28,46.0399407188,274635,0.0000,1.0
2020-10-27,49.07,49.19,46.75,46.83,46.5870878103,215296,0.0000,1.0
2020-10-26,49.46,49.685,48.1,49.12,48.8652093368,359665,0.0000,1.0
2020-10-23,50.41,51.87,48.88,50.16,49.8998147462,892197,0.0000,1.0
2020-10-22,50.98,51.37,48.1,50.34,50.0788810671,673710,0.0000,1.0
2020-10-21,48.78,50.66,48.485,50.41,50.1485179696,667379,0.0000,1.0
2020-10-20,48.955,49.565,48.255,48.78,48.5269729529,309126,0.0000,1.0
2020-10-19,47.72,48.57,47.315,47.52,47.2735087069,427859,0.0000,1.0
2020-10-16,47.55,47.95,46.65,47.35,47.104390515,414420,0.0000,1.0
2020-10-15,46.0,47.65,46.0,47.23,46.9850129678,354719,0.0000,1.0
2020-10-14,47.86,48.31,46.65,46.65,46.4080214894,247933,0.0000,1.0
2020-10-13,48.69,48.69,47.33,47.59,47.3431456095,455817,0.0000,1.0
2020-10-12,48.04,49.06,47.2675,48.93,48.676194887,262022,0.0000,1.0
2020-10-09,49.2,49.22,47.76,48.31,48.0594108929,276948,0.0000,1.0
2020-10-08,47.69,48.77,47.26,48.73,48.4772323083,353718,0.0000,1.0
2020-10-07,46.1,47.81,45.75,46.93,46.6865690997,406064,0.0000,1.0
2020-10-06,46.38,47.19,45.26,45.34,45.1048165987,821354,0.0000,1.0
2020-10-05,43.54,45.52,42.71,45.39,45.1545572434,345801,0.0000,1.0
2020-10-02,40.14,42.99,40.14,42.84,42.6177843646,276712,0.0000,1.0
2020-10-01,39.8,40.99,39.63,40.99,40.7773805113,239217,0.0000,1.0
2020-09-30,40.5,41.17,39.6746,40.05,39.8422563913,302381,0.0000,1.0
2020-09-29,40.16,40.95,39.25,40.33,40.1208040015,370088,0.0000,1.0
2020-09-28,39.35,40.9,39.35,40.57,40.359559096,359959,0.0000,1.0
2020-09-25,37.32,38.79,37.28,38.66,38.4594664691,267399,0.0000,1.0
2020-09-24,37.87,38.58,37.35,37.67,37.4746017043,410851,0.0000,1.0
2020-09-23,38.8104,39.83,37.7,37.79,37.5939792516,603181,0.0000,1.0
2020-09-22,39.3,40.02,38.08,38.25,38.0515931827,304349,0.0000,1.0
2020-09-21,40.1,40.76,39.02,39.29,39.0861985921,446901,0.0000,1.0
2020-09-18,42.34,42.34,40.92,41.24,41.0260837347,1516911,0.0000,1.0
2020-09-17,41.22,42.61,41.01,42.44,42.2198592071,331904,0.0000,1.0
2020-09-16,42.1,42.87,41.5,42.07,41.8517784365,330736,0.0000,1.0
2020-09-15,42.64,42.65,41.44,41.98,41.762245276,395761,0.0000,1.0
2020-09-14,42.37,43.44,42.04,42.71,42.4884586884,308130,0.0000,1.0
2020-09-11,41.8,42.23,41.02,42.17,41.9512597258,322614,0.0000,1.0
2020-09-10,42.52,43.01,41.775,41.84,41.6229714709,259726,0.0000,1.0
2020-09-09,42.52,43.0,41.535,42.24,42.0208966284,272039,0.0000,1.0
2020-09-08,44.31,44.31,42.205,42.28,42.0606891441,252108,0.0000,1.0
2020-09-04,45.27,45.85,43.98,45.28,45.0451278251,236022,0.0000,1.0
2020-09-03,44.5,46.47,43.94,44.03,43.801611708,206580,0.0000,1.0
2020-09-02,43.31,44.085,43.0,43.93,43.7021304187,143940,0.0000,1.0
2020-09-01,42.93,44.15,42.51,43.44,43.2146721008,147329,0.0000,1.0
2020-08-31,44.78,44.78,43.43,43.52,43.2942571323,240167,0.0000,1.0
2020-08-28,45.62,45.62,44.42,44.88,44.6472026677,184640,0.0000,1.0
2020-08-27,44.76,45.64,44.02,45.15,44.9158021489,165061,0.0000,1.0
2020-08-26,45.64,45.64,43.79,43.88,43.652389774,185788,0.0000,1.0
2020-08-25,45.74,46.36,45.015,45.53,45.2938310485,228751,0.0000,1.0
2020-08-24,43.27,45.5,43.01,45.46,45.224194146,233375,0.0000,1.0
2020-08-21,43.01,43.515,42.26,42.95,42.7272137829,276883,0.0000,1.0
2020-08-20,43.56,45.18,42.7,43.11,42.8863838459,318131,0.0000,1.0
2020-08-19,44.37,44.99,43.935,44.37,44.1398480919,184694,0.0000,1.0
2020-08-18,45.73,45.82,44.0,44.08,43.8513523527,255401,0.0000,1.0
2020-08-17,46.08,46.57,45.09,45.53,45.2938310485,264848,0.0000,1.0
2020-08-14,44.92,47.02,44.65,46.36,46.1195257503,176988,0.0000,1.0
2020-08-13,46.26,46.66,45.41,45.51,45.2739347907,423199,0.0000,1.0
2020-08-12,48.7,48.7,45.88,46.83,46.5870878103,231586,0.0000,1.0
2020-08-11,47.56,49.6998,47.36,47.44,47.1939236754,475448,0.0000,1.0
2020-08-10,45.32,47.15,44.97,46.13,45.8907187847,285418,0.0000,1.0
2020-08-07,42.0,44.87,41.745,44.86,44.6273064098,332631,0.0000,1.0
2020-08-06,42.52,43.13,41.5695,42.43,42.2099110782,150642,0.0000,1.0
2020-08-05,42.04,42.95,41.91,42.87,42.6476287514,229905,0.2800,1.0
2020-08-04,42.6,42.765,41.64,41.99,41.5011339808,210957,0.0000,1.0
2020-08-03,42.82,43.05,42.14,42.46,41.9656620344,487187,0.0000,1.0
2020-07-31,43.77,44.1,42.08,42.8,42.3017036051,296883,0.0000,1.0
2020-07-30,43.32,44.09,41.52,44.05,43.5371505562,279795,0.0000,1.0
2020-07-29,43.43,44.81,42.73,44.81,44.2883023024,192144,0.0000,1.0
2020-07-28,43.41,43.9,42.985,43.38,42.8749509904,201525,0.0000,1.0
2020-07-27,44.9,44.9,43.09,43.3,42.7958823855,227165,0.0000,1.0
2020-07-24,44.8,45.57,44.59,44.65,44.1301650927,257765,0.0000,1.0
2020-07-23,43.83,45.2,43.72,44.66,44.1400486683,449291,0.0000,1.0
2020-07-22,43.14,45.22,42.86,43.73,43.2208761367,634442,0.0000,1.0
2020-07-21,42.29,44.92,42.29,44.76,44.2388844244,537509,0.0000,1.0
2020-07-20,41.26,42.13,40.99,41.61,41.1255581077,483129,0.0000,1.0
2020-07-17,42.92,43.54,41.56,41.74,41.2540445906,219195,0.0000,1.0
2020-07-16,42.35,43.87,41.69,42.8,42.3017036051,235330,0.0000,1.0
2020-07-15,41.46,43.4,41.2,43.06,42.5586765709,292704,0.0000,1.0
2020-07-14,40.88,41.12,39.44,40.18,39.7122067956,233490,0.0000,1.0
2020-07-13,41.26,42.03,39.7,41.15,40.6709136297,247211,0.0000,1.0
2020-07-10,38.78,40.71,38.78,40.57,40.0976662444,233985,0.0000,1.0
2020-07-09,40.49,41.1,38.46,38.6,38.1506018494,381627,0.0000,1.0
2020-07-08,41.09,42.2,40.24,41.1,40.6214957516,321805,0.0000,1.0
2020-07-07,41.96,42.03,40.84,41.17,40.6906807809,317194,0.0000,1.0
2020-07-06,43.37,44.33,41.98,42.73,42.2325185758,378830,0.0000,1.0
2020-07-02,43.17,44.21,41.78,41.98,41.4912504052,789598,0.0000,1.0
2020-07-01,43.67,43.77,41.31,41.66,41.1749759857,344494,0.0000,1.0
2020-06-30,42.57,43.89,42.15,43.62,43.112156805,369504,0.0000,1.0
2020-06-29,41.8,43.52,41.45,42.88,42.38077221,340012,0.0000,1.0
2020-06-26,42.79,43.15,40.82,41.02,40.5424271467,536853,0.0000,1.0
2020-06-25,41.56,43.89,41.36,43.84,43.3295954684,375873,0.0000,1.0
2020-06-24,44.32,44.32,41.93,42.04,41.5505518588,358183,0.0000,1.0
2020-06-23,46.49,46.78,44.72,45.2,44.6737617512,440422,0.0000,1.0
2020-06-22,45.23,46.12,44.2,45.4,44.8714332633,295850,0.0000,1.0
2020-06-19,47.7,48.17,44.71,45.77,45.2371255609,811545,0.0000,1.0
2020-06-18,45.53,47.85,43.77,46.76,46.2155995461,475156,0.0000,1.0
2020-06-17,48.2,48.65,46.4,46.46,45.9190922779,505651,0.0000,1.0
2020-06-16,48.69,49.38,46.72,48.05,47.4905807996,323098,0.0000,1.0
2020-06-15,42.99,46.61,42.65,45.8,45.2667762877,596325,0.0000,1.0
2020-06-12,46.02,46.43,43.5,45.77,45.2371255609,649016,0.0000,1.0
2020-06-11,43.02,45.19,42.25,42.83,42.3313543319,609367,0.0000,1.0
2020-06-10,51.66,51.66,47.1,47.26,46.7097783266,409782,0.0000,1.0
2020-06-09,52.11,54.34,50.5,52.3,51.6911004333,493194,0.0000,1.0
2020-06-08,53.04,53.44,51.49,53.1,52.481786482,669688,0.0000,1.0
2020-06-05,52.32,53.23,49.67,50.47,49.8824060969,724757,0.0000,1.0
2020-06-04,44.88,47.66,44.33,47.59,47.0359363216,1251181,0.0000,1.0
2020-06-03,43.78,45.53,43.78,44.94,44.4167887853,696808,0.0000,1.0
2020-06-02,43.53,43.81,42.17,42.42,41.926127732,756312,0.0000,1.0
2020-06-01,42.72,43.66,41.95,42.56,42.0644977905,701388,0.0000,1.0
2020-05-29,43.65,44.19,42.17,42.36,41.8668262783,1594487,0.0000,1.0
2020-05-28,46.98,46.98,44.31,44.71,44.1894665463,867559,0.0000,1.0
2020-05-27,44.51,46.37,43.37,46.3,45.7609550681,736593,0.0000,1.0
2020-05-26,40.21,43.02,39.99,42.42,41.926127732,598899,0.0000,1.0
2020-05-22,38.75,39.32,37.77,38.24,37.7947931275,322838,0.0000,1.0
2020-05-21,38.45,39.25,37.74,38.77,38.3186226348,972629,0.0000,1.0
2020-05-20,36.37,38.25,36.37,38.08,37.6366559178,1701290,0.0000,1.0
2020-05-19,37.19,37.73,35.48,35.55,35.1361112888,565629,0.0000,1.0
2020-05-18,34.8,37.7,34.79,37.23,36.7965519911,890035,0.0000,1.0
2020-05-15,32.57,33.28,31.91,32.56,32.1809221818,577319,0.0000,1.0
2020-05-14,30.62,33.42,29.51,33.11,32.7245188403,414990,0.0000,1.0
2020-05-13,33.13,33.33,30.91,31.77,31.4001197087,581499,0.0000,1.0
2020-05-12,36.26,36.63,33.62,33.68,33.28788265,455047,0.0000,1.0
2020-05-11,37.72,37.72,35.75,36.12,35.6994750985,708373,0.0000,1.0
2020-05-08,37.25,38.92,37.14,38.64,38.1901361519,517584,0.0000,1.0
2020-05-07,35.92,38.11,35.92,36.25,35.8279615814,424087,0.0000,1.0
2020-05-06,38.27,38.49,35.52,35.73,35.3140156498,516551,0.2800,1.0
2020-05-05,40.52,41.16,38.05,38.12,37.3832345618,485530,0.0000,1.0
2020-05-04,38.76,39.72,37.12,39.11,38.3541003072,373082,0.0000,1.0
2020-05-01,40.33,41.11,39.27,39.83,39.0601844857,573858,0.0000,1.0
2020-04-30,44.0,44.0,41.72,41.9,41.0901764989,585037,0.0000,1.0
2020-04-29,42.76,45.01,41.94,44.81,43.943933387,1045089,0.0000,1.0
2020-04-28,40.96,42.65,40.28,40.88,40.0898905793,901933,0.0000,1.0
2020-04-27,36.81,39.61,36.6,39.16,38.4031339307,547330,0.0000,1.0
2020-04-24,35.8,36.57,34.46,36.01,35.3140156498,662589,0.0000,1.0
2020-04-23,36.07,37.1,35.2,35.24,34.5588978478,739101,0.0000,1.0
2020-04-22,35.25,36.88,34.52,35.44,34.7550323418,1503883,0.0000,1.0
2020-04-21,32.25,33.9,31.79,33.53,32.8819479238,795085,0.0000,1.0
2020-04-20,32.46,34.81,31.88,33.85,33.1957631143,888504,0.0000,1.0
2020-04-17,30.78,34.13,30.66,33.74,33.0878891425,978325,0.0000,1.0
2020-04-16,32.67,32.67,29.21,29.4,28.8317706221,977936,0.0000,1.0
2020-04-15,34.94,34.94,32.29,32.45,31.8228216561,435895,0.0000,1.0
2020-04-14,36.55,37.95,35.0,36.02,35.3238223745,604055,0.0000,1.0
2020-04-13,39.93,39.93,35.56,36.09,35.3924694474,648968,0.0000,1.0
2020-04-09,39.72,41.3,38.57,39.86,39.0896046598,1003382,0.0000,1.0
2020-04-08,37.11,38.39,36.39,37.82,37.0890328207,872805,0.0000,1.0
2020-04-07,36.89,38.01,35.37,36.43,35.7258980872,1513276,0.0000,1.0
2020-04-06,34.33,35.21,32.91,34.46,33.793973321,2843238,0.0000,1.0
2020-04-03,31.56,32.43,30.06,31.13,30.5283339955,1057865,0.0000,1.0
2020-04-02,30.77,32.44,30.29,31.74,31.1265442023,1134434,0.0000,1.0
2020-04-01,31.06,31.6,30.14,30.7,30.1066448333,679901,0.0000,1.0
2020-03-31,32.47,34.36,31.92,32.86,32.2248973688,634796,0.0000,1.0
2020-03-30,33.58,34.88,31.43,32.36,31.7345611337,845079,0.0000,1.0
2020-03-27,33.38,34.88,32.78,34.13,33.4703514059,449376,0.0000,1.0
2020-03-26,31.76,35.64,30.95,35.39,34.7059987183,772350,0.0000,1.0
2020-03-25,32.13,33.17,29.69,31.8,31.1853845505,1605251,0.0000,1.0
2020-03-24,32.13,33.1,30.72,31.35,30.7440819389,669428,0.0000,1.0
2020-03-23,30.44,31.1,27.3,29.62,29.0475185656,709138,0.0000,1.0
2020-03-20,31.08,33.45,29.51,30.62,30.0281910357,1374118,0.0000,1.0
2020-03-19,23.69,31.43,22.02,30.23,29.6457287723,1208934,0.0000,1.0
2020-03-18,29.45,29.57,23.08,24.31,23.8401477491,1028523,0.0000,1.0
2020-03-17,31.66,32.73,29.01,30.38,29.7928296429,877998,0.0000,1.0
2020-03-16,33.55,35.23,30.8,30.92,30.3223927767,735256,0.0000,1.0
2020-03-13,37.95,39.79,35.01,39.67,38.9032768905,942590,0.0000,1.0
2020-03-12,35.75,37.96,33.78,35.24,34.5588978478,789700,0.0000,1.0
2020-03-11,41.3,41.86,38.36,38.97,38.2168061614,643155,0.0000,1.0
2020-03-10,42.97,44.26,40.5,42.67,41.8452943009,862528,0.0000,1.0
2020-03-09,43.45,45.16,40.37,40.87,40.0800838546,684454,0.0000,1.0
2020-03-06,47.1,49.3,46.88,48.2,47.2684130608,539370,0.0000,1.0
2020-03-05,51.63,51.82,48.9,49.5,48.543287272,495183,0.0000,1.0
2020-03-04,52.89,53.79,51.52,53.49,52.4561704278,636209,0.0000,1.0
2020-03-03,55.7,56.48,52.1,52.21,51.200909666,591904,0.0000,1.0
2020-03-02,53.41,55.93,52.67,55.79,54.7117171091,650155,0.0000,1.0
2020-02-28,53.87,54.87,52.58,53.41,52.3777166302,644549,0.0000,1.0
2020-02-27,56.59,58.43,55.38,55.82,54.7411372832,394718,0.0000,1.0
2020-02-26,59.67,60.35,57.66,57.88,56.7613225717,321736,0.0000,1.0
2020-02-25,61.81,61.85,59.21,59.33,58.1832976534,309150,0.0000,1.0
2020-02-24,61.97,62.07,61.09,61.64,60.4486510595,373855,0.0000,1.0
2020-02-21,64.74,64.94,63.64,63.84,62.6061304938,253872,0.0000,1.0
2020-02-20,64.55,65.49,64.51,65.1,63.8417778061,219016,0.0000,1.0
2020-02-19,64.6,64.9,64.34,64.5,63.2533743241,188634,0.0000,1.0
2020-02-18,64.95,65.41,64.09,64.33,63.0866600041,230973,0.0000,1.0
2020-02-14,65.34,65.63,65.0,65.25,63.9888786767,232475,0.0000,1.0
2020-02-13,64.54,65.37,64.52,65.36,64.0967526484,147401,0.0000,1.0
2020-02-12,65.1,65.27,64.43,64.94,63.6848702109,227699,0.0000,1.0
2020-02-11,64.4,65.35,64.34,64.5,63.2533743241,233534,0.0000,1.0
2020-02-10,63.96,64.19,63.52,64.15,62.9101389595,289551,0.0000,1.0
2020-02-07,64.33,64.85,64.18,64.19,62.9493658583,273217,0.0000,1.0
2020-02-06,66.49,66.49,64.7,64.72,63.4691222675,284160,0.0000,1.0
2020-02-05,65.69,66.25,65.62,66.1,64.8224502763,248216,0.2800,1.0
2020-02-04,65.69,65.81,64.88,65.11,63.5822497362,308053,0.0000,1.0
2020-02-03,64.07,64.95,63.82,64.53,63.0158589384,397950,0.0000,1.0
2020-01-31,63.72,64.33,63.02,63.28,61.7951891154,463120,0.0000,1.0
2020-01-30,63.2,64.41,62.99,64.305,62.7961383702,304573,0.0000,1.0
2020-01-29,65.04,65.69,63.74,63.74,62.2443956103,431814,0.0000,1.0
2020-01-28,64.11,65.15,63.99,64.77,63.2502275444,373904,0.0000,1.0
2020-01-27,62.8,63.72,62.74,63.45,61.9612002114,378913,0.0000,1.0
2020-01-24,64.94,64.94,63.25,64.09,62.5861831607,532242,0.0000,1.0
2020-01-23,62.94,65.25,62.94,64.71,63.1916353929,983249,0.0000,1.0
2020-01-22,63.75,66.36,63.15,65.24,63.7091993978,803785,0.0000,1.0
2020-01-21,68.84,69.35,66.88,66.9,65.3302489226,525990,0.0000,1.0
2020-01-17,69.1,69.16,68.47,69.0,67.3809742251,309572,0.0000,1.0
2020-01-16,68.61,69.0,68.3,68.76,67.1466056191,378176,0.0000,1.0
2020-01-15,68.72,68.83,67.76,68.07,66.4727958769,343482,0.0000,1.0
2020-01-14,68.56,69.63,68.44,69.21,67.5860467554,207114,0.0000,1.0
2020-01-13,68.97,68.99,68.42,68.94,67.3223820736,467200,0.0000,1.0
2020-01-10,70.12,71.9,68.71,68.76,67.1466056191,283863,0.0000,1.0
2020-01-09,70.65,70.65,69.99,70.26,68.6114094066,244028,0.0000,1.0
2020-01-08,69.49,70.53,69.41,70.3,68.650470841,307787,0.0000,1.0
2020-01-07,70.28,70.28,69.42,69.62,67.9864264573,160414,0.0000,1.0
2020-01-06,69.88,70.54,69.26,70.41,68.7578897854,365881,0.0000,1.0
2020-01-03,70.1,70.99,69.58,70.9,69.236392356,351965,0.0000,1.0
2020-01-02,71.0,71.07,70.0,71.07,69.4024034519,307868,0.0000,1.0
2019-12-31,70.63,71.2,70.36,70.9,69.236392356,198646,0.0000,1.0
2019-12-30,71.28,71.34,70.52,70.73,69.07038126,369796,0.0000,1.0
2019-12-27,71.17,71.23,70.49,70.77,69.1094426944,193484,0.0000,1.0
2019-12-26,71.21,71.5,70.85,71.16,69.4902916791,111633,0.0000,1.0
2019-12-24,71.19,71.3,70.78,71.21,69.539118472,83425,0.0000,1.0
2019-12-23,71.72,71.72,70.9,71.23,69.5586491892,221726,0.0000,1.0
2019-12-20,71.34,71.95,70.99,71.65,69.9687942497,885691,0.0000,1.0
2019-12-19,70.85,71.17,70.05,71.08,69.4121688105,414344,0.0000,1.0
2019-12-18,70.6,71.18,69.72,71.06,69.3926380933,524894,0.0000,1.0
2019-12-17,70.0,70.73,69.59,70.58,68.9239008813,348963,0.0000,1.0
2019-12-16,68.99,70.19,68.93,69.72,68.0840800431,688639,0.0000,1.0
2019-12-13,69.16,69.59,68.15,68.29,66.6876337657,376654,0.0000,1.0
2019-12-12,67.3,69.4,67.3,69.16,67.5372199625,425409,0.0000,1.0
2019-12-11,67.81,68.09,66.91,67.1,65.5255560943,233680,0.0000,1.0
2019-12-10,68.38,68.74,67.7,67.79,66.1993658365,373738,0.0000,1.0
2019-12-09,67.89,68.63,67.7,68.16,66.5606841041,471708,0.0000,1.0
2019-12-06,68.57,68.99,67.81,68.13,66.5313880284,331717,0.0000,1.0
2019-12-05,67.94,67.99,67.44,67.51,65.9259357962,397945,0.0000,1.0
2019-12-04,66.7,67.97,66.32,67.57,65.9845279477,396665,0.0000,1.0
2019-12-03,66.59,66.59,65.83,66.32,64.7638581248,330356,0.0000,1.0
2019-12-02,68.14,68.43,67.02,67.25,65.672036473,497542,0.0000,1.0
2019-11-29,67.91,68.03,67.54,67.91,66.3165501395,218525,0.0000,1.0
2019-11-27,67.84,68.21,67.33,67.98,66.3849076496,284156,0.0000,1.0
2019-11-26,67.27,67.53,66.71,67.49,65.906405079,230432,0.0000,1.0
2019-11-25,67.0,67.66,66.74,67.12,65.5450868115,438994,0.0000,1.0
2019-11-22,66.71,67.32,66.56,66.97,65.3986064327,316255,0.0000,1.0
2019-11-21,66.44,66.68,65.53,66.5,64.9396345793,322308,0.0000,1.0
2019-11-20,66.06,66.78,65.6,66.02,64.4708973673,365796,0.0000,1.0
2019-11-19,66.57,66.73,66.05,66.56,64.9982267308,341839,0.0000,1.0
2019-11-18,65.68,66.57,65.43,66.1,64.549020236,372190,0.0000,1.0
2019-11-15,66.57,66.73,65.94,66.01,64.4611320087,424305,0.0000,1.0
2019-11-14,66.14,66.67,65.94,66.31,64.7540927662,312038,0.0000,1.0
2019-11-13,66.38,66.86,65.82,66.39,64.8322156349,285576,0.0000,1.0
2019-11-12,66.54,67.06,65.96,67.02,65.4474332256,621306,0.0000,1.0
2019-11-11,66.76,67.23,65.14,66.4,64.8419809935,587360,0.0000,1.0
2019-11-08,67.55,68.0,67.0,67.37,65.789220776,343910,0.0000,1.0
2019-11-07,68.18,69.0,67.93,68.22,66.6192762556,359435,0.0000,1.0
2019-11-06,67.98,68.01,66.65,67.49,65.906405079,400925,0.2500,1.0
2019-11-05,67.76,68.76,67.32,68.34,66.4901642029,428430,0.0000,1.0
2019-11-04,66.38,67.28,65.92,67.0,65.186435493,431370,0.0000,1.0
2019-11-01,64.55,65.63,64.46,65.49,63.7173083647,267677,0.0000,1.0
2019-10-31,65.09,65.27,63.22,63.82,62.0925121368,415182,0.0000,1.0
2019-10-30,66.04,66.31,64.89,65.59,63.814601552,254095,0.0000,1.0
2019-10-29,66.22,67.06,65.74,66.35,64.5540297755,213959,0.0000,1.0
2019-10-28,66.06,67.12,66.01,66.52,64.7194281939,234898,0.0000,1.0
2019-10-25,64.9,66.3,64.77,65.82,64.0383758828,606104,0.0000,1.0
2019-10-24,65.38,65.42,64.18,64.64,62.8903162726,207307,0.0000,1.0
2019-10-23,65.46,65.84,62.87,65.5,63.7270376835,201870,0.0000,1.0
2019-10-22,64.72,66.28,64.01,65.41,63.6394738149,356542,0.0000,1.0
2019-10-21,65.61,65.98,64.77,64.95,63.1919251533,213525,0.0000,1.0
2019-10-18,63.64,64.99,63.49,64.63,62.8805869539,568903,0.0000,1.0
2019-10-17,63.86,63.96,62.17,63.35,61.6352341564,688999,0.0000,1.0
2019-10-16,64.59,65.28,63.17,64.5,62.7541058104,269893,0.0000,1.0
2019-10-15,63.62,65.33,63.46,64.79,63.0362560536,256844,0.0000,1.0
2019-10-14,63.14,63.68,62.63,63.56,61.8395498498,141606,0.0000,1.0
2019-10-11,63.34,64.59,62.99,63.38,61.6644221126,434828,0.0000,1.0
2019-10-10,61.51,62.77,61.0,62.13,60.4482572713,395763,0.0000,1.0
2019-10-09,61.07,61.54,60.48,61.18,59.523971992,322148,0.0000,1.0
2019-10-08,61.52,61.71,60.54,60.68,59.0375060554,246728,0.0000,1.0
2019-10-07,63.25,63.5,62.48,62.63,60.9347232079,226330,0.0000,1.0
2019-10-04,62.08,62.89,61.66,62.77,61.0709336701,303127,0.0000,1.0
2019-10-03,61.69,62.05,60.39,61.99,60.3120468091,299320,0.0000,1.0
2019-10-02,62.16,62.56,61.24,62.01,60.3315054466,411327,0.0000,1.0
2019-10-01,65.04,65.56,62.59,62.76,61.0612043514,305131,0.0000,1.0
2019-09-30,64.87,64.96,64.3,64.63,62.8805869539,204969,0.0000,1.0
2019-09-27,64.89,66.03,64.23,64.56,62.8124817228,397571,0.0000,1.0
2019-09-26,65.61,65.61,64.36,64.48,62.734647173,208430,0.0000,1.0
2019-09-25,64.09,65.95,64.09,65.61,63.8340601895,398922,0.0000,1.0
2019-09-24,65.15,65.38,63.69,64.19,62.4524969298,390615,0.0000,1.0
2019-09-23,65.07,65.75,64.66,65.02,63.2600303844,375767,0.0000,1.0
2019-09-20,66.07,66.57,65.44,65.67,63.8924361019,1077870,0.0000,1.0
2019-09-19,66.28,67.05,65.84,65.93,64.1453983889,171255,0.0000,1.0
2019-09-18,65.59,66.28,64.99,66.24,64.4470072695,283260,0.0000,1.0
2019-09-17,66.32,66.32,65.2,65.91,64.1259397514,230527,0.0000,1.0
2019-09-16,66.12,67.24,65.72,66.83,65.0210370746,240268,0.0000,1.0
2019-09-13,66.34,67.48,66.06,66.64,64.8361800187,464947,0.0000,1.0
2019-09-12,65.63,66.14,64.93,65.5,63.7270376835,382731,0.0000,1.0
2019-09-11,66.16,66.53,64.58,66.27,64.4761952257,326611,0.0000,1.0
2019-09-10,64.72,66.06,64.61,66.0,64.21350362,472384,0.0000,1.0
2019-09-09,63.22,64.61,62.73,64.24,62.5011435234,624779,0.0000,1.0
2019-09-06,63.12,63.39,62.35,62.64,60.9444525266,307981,0.0000,1.0
2019-09-05,62.86,64.06,62.67,62.86,61.1584975387,527934,0.0000,1.0
2019-09-04,61.02,61.77,60.85,61.58,59.9131447412,489408,0.0000,1.0
2019-09-03,61.93,62.36,60.41,60.73,59.0861526491,422080,0.0000,1.0
2019-08-30,63.36,63.4,62.47,62.83,61.1293095825,301125,0.0000,1.0
2019-08-29,60.7,62.9,60.7,62.62,60.9249938891,347762,0.0000,1.0
2019-08-28,60.38,62.19,59.34,61.4,59.738017004,197684,0.0000,1.0
2019-08-27,62.41,62.5,60.42,60.9,59.2515510675,310725,0.0000,1.0
2019-08-26,62.21,62.36,61.57,61.95,60.2731295342,352994,0.0000,1.0
2019-08-23,63.52,64.47,61.55,61.75,60.0785431596,306932,0.0000,1.0
2019-08-22,63.88,64.3,63.29,63.87,62.1411587304,373065,0.0000,1.0
2019-08-21,62.98,63.54,62.27,63.31,61.5963168815,443202,0.0000,1.0
2019-08-20,62.2,62.78,61.8,62.39,60.7012195583,402521,0.0000,1.0
2019-08-19,63.07,63.08,62.22,62.7,61.002828439,370506,0.0000,1.0
