timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,9.98,10.55,9.7,10.27,10.27,583613,0.0000,1.0
2020-12-10,9.6,10.04,9.5139,9.83,9.83,232281,0.0000,1.0
2020-12-09,9.9,10.0947,9.51,9.63,9.63,159791,0.0000,1.0
2020-12-08,9.9,10.2,9.62,9.87,9.87,283915,0.0000,1.0
2020-12-07,9.51,9.85,9.1586,9.83,9.83,315693,0.0000,1.0
2020-12-04,9.43,10.28,9.1,9.36,9.36,974458,0.0000,1.0
2020-12-03,10.22,10.28,9.34,9.5,9.5,450440,0.0000,1.0
2020-12-02,10.06,10.3,9.75,10.18,10.18,258835,0.0000,1.0
2020-12-01,10.81,10.81,9.65,10.31,10.31,511585,0.0000,1.0
2020-11-30,11.65,11.65,10.25,10.76,10.76,772113,0.0000,1.0
2020-11-27,12.5,12.72,11.0,11.11,11.11,2287047,0.0000,1.0
2020-11-25,8.8,15.885,8.285,10.48,10.48,6695939,0.0000,1.0
2020-11-24,7.17,9.0,7.0,8.22,8.22,669319,0.0000,1.0
2020-11-23,6.95,6.96,6.54,6.65,6.65,110274,0.0000,1.0
2020-11-20,6.88,7.0,6.71,6.91,6.91,70097,0.0000,1.0
2020-11-19,7.11,7.19,6.85,7.04,7.04,81630,0.0000,1.0
2020-11-18,7.54,7.63,7.111,7.16,7.16,120985,0.0000,1.0
2020-11-17,8.4,8.4,7.12,7.42,7.42,260951,0.0000,1.0
2020-11-16,8.0,8.39,8.0,8.17,8.17,194642,0.0000,1.0
2020-11-13,7.3,8.0,7.3,7.84,7.84,235618,0.0000,1.0
2020-11-12,6.83,7.18,6.806,7.18,7.18,68091,0.0000,1.0
2020-11-11,6.42,6.9,6.42,6.81,6.81,79913,0.0000,1.0
2020-11-10,6.7,6.75,6.4,6.58,6.58,60507,0.0000,1.0
2020-11-09,7.04,7.3806,6.4704,6.78,6.78,136414,0.0000,0.1
2020-11-06,0.65,0.65,0.614,0.65,6.5,384503,0.0000,1.0
2020-11-05,0.65,0.6709,0.6315,0.6471,6.471,542280,0.0000,1.0
2020-11-04,0.63,0.6415,0.612,0.6414,6.414,599127,0.0000,1.0
2020-11-03,0.63,0.63,0.58,0.62,6.2,1096909,0.0000,1.0
2020-11-02,0.571,0.6124,0.5521,0.6052,6.052,966333,0.0000,1.0
2020-10-30,0.556,0.56,0.523301,0.5559,5.559,250302,0.0000,1.0
2020-10-29,0.5439,0.56,0.523101,0.5555,5.555,363024,0.0000,1.0
2020-10-28,0.5508,0.5508,0.5263,0.5355,5.355,367509,0.0000,1.0
2020-10-27,0.5501,0.58,0.525,0.5513,5.513,408329,0.0000,1.0
2020-10-26,0.55,0.5898,0.525,0.5399,5.399,1211223,0.0000,1.0
2020-10-23,0.59,0.59,0.5499,0.5521,5.521,297800,0.0000,1.0
2020-10-22,0.56,0.57,0.5315,0.545,5.45,265332,0.0000,1.0
