timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,56.37,56.96,56.3,56.54,56.54,1249989,0.0000,1.0
2020-12-10,56.53,56.96,56.22,56.78,56.78,2735564,0.0000,1.0
2020-12-09,57.12,57.52,56.55,56.91,56.91,3908842,0.0000,1.0
2020-12-08,56.81,56.89,56.21,56.61,56.61,1969059,0.0000,1.0
2020-12-07,56.76,57.235,56.35,57.12,57.12,2628673,0.0000,1.0
2020-12-04,56.92,57.09,56.42,56.73,56.73,2102448,0.0000,1.0
2020-12-03,56.0,57.2,55.89,56.9,56.9,1892694,0.0000,1.0
2020-12-02,56.59,56.64,55.73,55.8,55.8,3674932,0.0000,1.0
2020-12-01,57.86,57.86,56.8,56.91,56.91,2316367,0.0000,1.0
2020-11-30,57.8,57.93,56.4,57.23,57.23,2137624,0.0000,1.0
2020-11-27,58.24,58.4801,57.72,57.92,57.92,815571,0.0000,1.0
2020-11-25,58.13,58.36,57.54,58.03,58.03,1870785,0.0000,1.0
2020-11-24,59.0,59.08,58.11,58.22,58.22,1943646,0.0000,1.0
2020-11-23,57.55,58.61,57.42,58.42,58.42,2033973,0.0000,1.0
2020-11-20,57.31,57.67,56.835,57.15,57.15,1491326,0.0000,1.0
2020-11-19,56.76,57.39,56.62,57.22,57.22,2525442,0.0000,1.0
2020-11-18,57.02,57.5,56.76,56.8,56.8,1781849,0.0000,1.0
2020-11-17,56.7,57.35,56.0,57.05,57.05,2268539,0.0000,1.0
2020-11-16,56.55,57.14,55.91,56.93,56.93,2076304,0.0000,1.0
2020-11-13,55.23,56.32,55.23,56.05,56.05,3449020,0.0000,1.0
2020-11-12,55.6,55.96,54.23,54.72,54.72,3052731,0.0000,1.0
2020-11-11,55.13,55.62,54.62,55.56,55.56,3712979,0.0000,1.0
2020-11-10,53.85,55.12,53.43,54.74,54.74,4668668,0.0000,1.0
2020-11-09,57.52,58.29,53.45,53.51,53.51,7020366,0.0000,1.0
2020-11-06,57.12,57.23,56.35,56.71,56.71,3916201,0.0000,1.0
2020-11-05,57.2,57.92,56.95,57.21,57.21,3352837,0.0000,1.0
2020-11-04,55.16,56.82,55.0289,56.37,56.37,4763050,0.0000,1.0
2020-11-03,54.45,55.23,54.18,54.9,54.9,2416873,0.0000,1.0
2020-11-02,52.78,53.81,52.78,53.8,53.8,2574667,0.0000,1.0
2020-10-30,52.66,53.41,51.48,51.98,51.98,3389216,0.0000,1.0
2020-10-29,52.79,53.39,52.32,52.67,52.67,3670525,0.0000,1.0
2020-10-28,52.34,53.45,52.07,52.63,52.63,4572476,0.0000,1.0
2020-10-27,54.11,54.31,53.28,53.39,53.39,3201258,0.0000,1.0
2020-10-26,55.12,55.24,53.45,54.01,54.01,3990926,0.0000,1.0
2020-10-23,55.2,55.86,54.88,55.82,55.82,2524837,0.0000,1.0
2020-10-22,55.7,55.75,54.47,54.99,54.99,3584903,0.0000,1.0
2020-10-21,56.66,56.82,55.33,55.48,55.48,4042032,0.0000,1.0
2020-10-20,56.53,57.41,56.35,56.54,56.54,3396004,0.0000,1.0
2020-10-19,57.67,57.67,55.98,56.19,56.19,3422261,0.0000,1.0
2020-10-16,57.98,58.34,57.32,57.32,57.32,2651632,0.0000,1.0
2020-10-15,56.47,57.73,56.25,57.57,57.57,2462923,0.0000,1.0
2020-10-14,57.42,57.75,56.92,57.16,57.16,2662778,0.0000,1.0
