timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,123.81,124.3,122.9,124.3,124.3,6511630,0.0000,1.0
2020-12-10,123.62,125.15,123.33,124.56,124.56,4998714,0.0000,1.0
2020-12-09,126.73,127.105,123.95,124.38,124.38,8635910,0.0000,1.0
2020-12-08,126.28,127.21,125.739,126.81,126.81,3943420,0.0000,1.0
2020-12-07,126.11,126.77,125.89,126.4,126.4,4452714,0.0000,1.0
2020-12-04,124.97,126.06,124.7,126.04,126.04,5179357,0.0000,1.0
2020-12-03,125.01,125.63,124.455,124.79,124.79,6887703,0.0000,1.0
2020-12-02,124.53,125.01,123.59,124.87,124.87,8019437,0.0000,1.0
2020-12-01,124.5,125.75,123.98,125.06,125.06,11337537,0.0000,1.0
2020-11-30,122.62,123.66,121.23,123.48,123.48,16114637,0.0000,1.0
2020-11-27,122.66,123.18,122.43,122.66,122.66,3512927,0.0000,1.0
2020-11-25,122.17,122.52,121.55,122.01,122.01,6093186,0.0000,1.0
2020-11-24,120.54,121.985,119.67,121.75,121.75,6811896,0.0000,1.0
2020-11-23,120.48,121.27,119.04,120.08,120.08,4904344,0.0000,1.0
2020-11-20,121.47,121.5,120.07,120.11,120.11,4958384,0.0000,1.0
2020-11-19,120.15,121.58,119.62,121.36,121.36,6077626,0.0000,1.0
2020-11-18,121.48,122.06,120.34,120.39,120.39,4771764,0.0000,1.0
2020-11-17,121.76,122.35,121.172,121.69,121.69,4969705,0.0000,1.0
2020-11-16,121.21,122.59,120.96,122.37,122.37,7432091,0.0000,1.0
2020-11-13,121.09,121.45,119.95,121.2,121.2,5926508,0.0000,1.0
2020-11-12,121.26,121.86,119.615,120.18,120.18,7177078,0.0000,1.0
2020-11-11,119.65,121.59,119.41,121.26,121.26,7244276,0.0000,1.0
2020-11-10,119.65,120.49,117.49,118.45,118.45,11769185,0.0000,1.0
2020-11-09,124.16,125.36,120.59,120.7,120.7,19884050,0.0000,1.0
2020-11-06,120.86,121.97,119.21,121.58,121.58,9727649,0.0000,1.0
2020-11-05,120.59,121.5,120.09,121.15,121.15,11094927,0.0000,1.0
2020-11-04,116.54,118.38,115.37,117.5,117.5,15381903,0.0000,1.0
2020-11-03,112.01,114.1,111.55,113.1,113.1,10485071,0.0000,1.0
2020-11-02,111.71,112.62,110.08,111.14,111.14,12019857,0.0000,1.0
2020-10-30,111.78,112.48,109.57,110.86,110.86,12925097,0.0000,1.0
2020-10-29,111.94,114.68,111.87,113.37,113.37,9704469,0.0000,1.0
2020-10-28,114.24,114.31,111.32,111.51,111.51,16378339,0.0000,1.0
2020-10-27,116.43,116.935,115.79,116.45,116.45,9532363,0.0000,1.0
2020-10-26,117.13,118.065,114.43,115.87,115.87,9094576,0.0000,1.0
2020-10-23,118.74,118.76,117.45,118.44,118.44,5156729,0.0000,1.0
2020-10-22,119.18,119.57,117.21,118.57,118.57,6743249,0.0000,1.0
2020-10-21,119.02,120.27,118.86,119.13,119.13,6085884,0.0000,1.0
2020-10-20,119.35,120.57,118.58,119.31,119.31,7283499,0.0000,1.0
2020-10-19,121.73,122.19,118.53,118.9,118.9,8308206,0.0000,1.0
2020-10-16,122.14,122.63,121.01,121.12,121.12,5772118,0.0000,1.0
2020-10-15,120.0,121.71,119.68,121.47,121.47,6593821,0.0000,1.0
2020-10-14,122.97,123.62,121.1088,122.02,122.02,7277862,0.0000,1.0
2020-10-13,123.86,124.08,122.2,122.67,122.67,8806934,0.0000,1.0
2020-10-12,121.95,124.27,121.34,123.46,123.46,9581881,0.0000,1.0
2020-10-09,118.93,120.21,118.9,120.18,120.18,7212665,0.0000,1.0
2020-10-08,118.79,118.79,117.97,118.37,118.37,5054753,0.0000,1.0
2020-10-07,116.85,117.99,116.755,117.76,117.76,6496213,0.0000,1.0
2020-10-06,117.18,118.29,115.23,115.64,115.64,13431145,0.0000,1.0
2020-10-05,115.76,117.53,115.69,117.46,117.46,6135274,0.0000,1.0
2020-10-02,115.03,116.94,114.48,114.94,114.94,18625844,0.0000,1.0
2020-10-01,118.32,118.48,117.18,117.93,117.93,13538164,0.0000,1.0
2020-09-30,115.67,117.89,115.62,116.7,116.7,11159433,0.0000,1.0
2020-09-29,115.97,116.46,115.48,115.73,115.73,12225778,0.0000,1.0
2020-09-28,115.83,116.13,114.87,116.12,116.12,8736611,0.0000,1.0
2020-09-25,111.34,114.28,110.64,113.94,113.94,9663310,0.0000,1.0
2020-09-24,109.63,112.66,109.49,111.28,111.28,15919317,0.0000,1.0
2020-09-23,114.28,114.39,110.32,110.66,110.66,11853888,0.0000,1.0
2020-09-22,113.71,114.51,111.78,114.22,114.22,12768728,0.0000,1.0
2020-09-21,109.5,112.49,109.11,112.44,112.44,19190883,0.2465,1.0
2020-09-18,113.91,114.11,110.3821,111.76,111.515500975,20918798,0.0000,1.0
2020-09-17,111.99,114.51,111.81,113.72,113.471213053,15201819,0.0000,1.0
2020-09-16,116.99,117.15,114.56,114.67,114.419134724,9820058,0.0000,1.0
2020-09-15,117.09,117.3,115.685,116.47,116.215196837,9130229,0.0000,1.0
2020-09-14,114.84,115.95,114.3,115.33,115.077690832,12365075,0.0000,1.0
2020-09-11,114.9,115.34,111.52,112.96,112.712875717,18583150,0.0000,1.0
2020-09-10,118.06,118.24,113.14,113.83,113.580972405,16054935,0.0000,1.0
2020-09-09,115.53,117.6001,114.27,116.46,116.205218714,18391935,0.0000,1.0
2020-09-08,113.63,116.33,112.58,112.78,112.533269506,23930197,0.0000,1.0
2020-09-04,119.12,120.82,113.05,118.12,117.861587108,31272148,0.0000,1.0
2020-09-03,125.0,125.1,118.8,119.79,119.527933624,27080966,0.0000,1.0
2020-09-02,127.71,127.72,124.8101,127.03,126.752094567,20197450,0.0000,1.0
2020-09-01,124.66,126.07,123.88,125.91,125.634544808,12809980,0.0000,1.0
2020-08-31,123.65,124.35,122.88,123.55,123.279707815,9519980,0.0000,1.0
2020-08-28,122.57,123.56,122.41,123.16,122.890561024,6546671,0.0000,1.0
2020-08-27,122.5,123.06,120.99,122.09,121.822901879,9087146,0.0000,1.0
2020-08-26,120.81,122.31,120.54,121.99,121.723120651,8231540,0.0000,1.0
2020-08-25,118.69,119.61,118.51,119.56,119.298436798,9314127,0.0000,1.0
2020-08-24,119.64,119.68,117.97,118.96,118.699749427,8220299,0.0000,1.0
2020-08-21,116.57,118.0699,116.51,117.94,117.681980896,7644345,0.0000,1.0
2020-08-20,114.5,116.69,114.38,116.46,116.205218714,6401540,0.0000,1.0
2020-08-19,115.36,115.87,114.735,114.93,114.678565918,7119708,0.0000,1.0
2020-08-18,114.86,115.38,114.1,115.07,114.818259638,4465044,0.0000,1.0
2020-08-17,114.57,114.9,114.43,114.64,114.389200356,4059973,0.0000,1.0
2020-08-14,114.01,114.21,113.25,113.88,113.630863019,4167137,0.0000,1.0
2020-08-13,114.07,114.91,113.55,113.96,113.710688002,5726835,0.0000,1.0
2020-08-12,112.28,114.206,112.14,113.91,113.660797388,7098900,0.0000,1.0
2020-08-11,113.05,113.53,111.15,111.38,111.136332306,9422235,0.0000,1.0
2020-08-10,113.96,114.15,111.885,113.42,113.171869368,8240675,0.0000,1.0
2020-08-07,115.0,115.005,112.84,113.74,113.491169299,13738125,0.0000,1.0
2020-08-06,113.77,115.57,113.515,115.46,115.207406429,8199668,0.0000,1.0
2020-08-05,113.8,114.12,113.29,113.86,113.610906773,6480270,0.0000,1.0
2020-08-04,112.91,113.45,112.42,113.44,113.191825614,8985819,0.0000,1.0
2020-08-03,111.93,113.51,111.88,113.15,112.902460051,12165777,0.0000,1.0
2020-07-31,109.44,110.47,107.661,110.43,110.188410636,12594112,0.0000,1.0
2020-07-30,106.17,107.81,105.6,107.74,107.504295589,10778368,0.0000,1.0
2020-07-29,106.01,107.43,106.01,107.14,106.905608218,6593623,0.0000,1.0
2020-07-28,106.53,106.86,105.53,105.61,105.378955422,8912742,0.0000,1.0
2020-07-27,105.84,106.97,105.63,106.86,106.626220778,8453995,0.0000,1.0
2020-07-24,104.71,105.89,103.47,105.2,104.969852385,11455846,0.0000,1.0
2020-07-23,108.75,109.47,106.005,106.49,106.257030233,11674801,0.0000,1.0
2020-07-22,108.56,109.6706,108.47,109.33,109.090817122,7514035,0.0000,1.0
2020-07-21,110.34,110.38,108.06,108.46,108.222720434,9397131,0.0000,1.0
2020-07-20,107.13,109.82,106.53,109.56,109.320313948,8507493,0.0000,1.0
2020-07-17,106.94,107.13,105.85,106.83,106.59628641,6355174,0.0000,1.0
2020-07-16,106.49,106.79,105.49,106.31,106.077424021,8587831,0.0000,1.0
2020-07-15,108.04,108.57,106.38,107.64,107.40451436,11888674,0.0000,1.0
2020-07-14,105.0,107.21,103.88,107.06,106.825783235,15024053,0.0000,1.0
2020-07-13,109.0,109.72,105.57,105.84,105.608452247,14451180,0.0000,1.0
2020-07-10,107.86,108.13,106.8,108.08,107.843551766,7360163,0.0000,1.0
2020-07-09,108.6,108.62,106.56,108.11,107.873486134,8883936,0.0000,1.0
2020-07-08,106.83,107.73,106.26,107.72,107.484339343,6661803,0.0000,1.0
2020-07-07,106.99,108.07,105.88,105.99,105.75812409,7931883,0.0000,1.0
2020-07-06,106.63,107.61,106.57,107.11,106.875673849,8021545,0.0000,1.0
2020-07-02,105.65,106.22,105.05,105.27,105.039699245,9571127,0.0000,1.0
