timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,111.66,111.93,110.91,111.68,111.68,5222420,0.0000,1.0
2020-12-10,112.29,112.74,111.89,112.12,112.12,5410980,0.0000,1.0
2020-12-09,113.15,113.16,111.81,112.31,112.31,7386434,0.0000,1.0
2020-12-08,111.58,112.79,111.54,112.7,112.7,7953249,0.0000,1.0
2020-12-07,112.42,112.52,111.44,111.85,111.85,5803278,0.0000,1.0
2020-12-04,111.39,112.56,111.2488,112.54,112.54,7859687,0.0000,1.0
2020-12-03,111.45,111.79,110.87,111.35,111.35,9795704,0.0000,1.0
2020-12-02,110.74,111.68,110.67,111.49,111.49,8552381,0.0000,1.0
2020-12-01,110.8,111.865,110.47,110.66,110.66,12650698,0.0000,1.0
2020-11-30,109.48,109.84,108.9,109.74,109.74,12723443,0.0000,1.0
2020-11-27,108.88,109.515,108.53,109.44,109.44,4443906,0.0000,1.0
2020-11-25,108.97,109.05,107.985,108.44,108.44,11671834,0.0000,1.0
2020-11-24,109.05,109.58,108.47,108.84,108.84,9592596,0.0000,1.0
2020-11-23,109.34,109.4,107.84,108.52,108.52,7747820,0.0000,1.0
2020-11-20,108.8,109.305,108.42,108.8,108.8,7674538,0.0000,1.0
2020-11-19,109.13,109.22,108.235,109.05,109.05,10411029,0.0000,1.0
2020-11-18,111.44,111.48,109.1,109.13,109.13,9849992,0.0000,1.0
2020-11-17,111.36,111.61,110.67,111.2,111.2,8898284,0.0000,1.0
2020-11-16,113.01,113.19,111.37,111.93,111.93,7586032,0.0000,1.0
2020-11-13,111.27,112.545,111.07,112.12,112.12,6576891,0.0000,1.0
2020-11-12,110.92,111.36,109.98,110.72,110.72,7856407,0.0000,1.0
2020-11-11,112.16,112.16,110.59,111.13,111.13,9935420,0.0000,1.0
2020-11-10,111.46,111.67,110.07,111.27,111.27,12526540,0.0000,1.0
2020-11-09,113.92,114.41,110.81,110.95,110.95,20442968,0.0000,1.0
2020-11-06,110.0,110.67,109.21,109.92,109.92,12311222,0.0000,1.0
2020-11-05,111.17,111.25,109.68,109.88,109.88,12864808,0.0000,1.0
2020-11-04,107.99,111.42,107.78,109.66,109.66,25531475,0.0000,1.0
2020-11-03,104.76,106.14,104.68,105.0,105.0,9812871,0.0000,1.0
2020-11-02,103.16,103.73,102.41,103.49,103.49,10287508,0.0000,1.0
2020-10-30,101.56,102.16,100.31,101.66,101.66,10741670,0.0000,1.0
2020-10-29,102.46,102.91,101.06,101.69,101.69,15974243,0.0000,1.0
2020-10-28,104.14,104.77,102.4,102.53,102.53,11431816,0.0000,1.0
2020-10-27,106.23,106.76,105.83,105.89,105.89,6893116,0.0000,1.0
2020-10-26,106.95,107.08,105.6,106.62,106.62,8135488,0.0000,1.0
2020-10-23,107.96,108.6,107.21,107.82,107.82,5697874,0.0000,1.0
2020-10-22,105.97,107.61,105.96,107.42,107.42,6127112,0.0000,1.0
2020-10-21,106.34,106.64,105.57,105.82,105.82,5474401,0.0000,1.0
2020-10-20,106.59,107.23,106.17,106.35,106.35,7423744,0.0000,1.0
