timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-11,17.19,17.43,17.19,17.4,17.4,203699,0.0000,1.0
2020-12-10,17.62,17.62,16.82,16.96,16.96,440238,0.0000,1.0
2020-12-09,17.13,17.77,17.1,17.61,17.61,453555,0.0000,1.0
2020-12-08,17.11,17.25,16.97,16.98,16.98,138068,0.0000,1.0
2020-12-07,16.98,17.0,16.77,16.84,16.84,221106,0.0000,1.0
2020-12-04,16.3,16.49,16.24,16.39,16.39,137303,0.0000,1.0
2020-12-03,16.45,16.56,16.2577,16.41,16.41,204436,0.0000,1.0
2020-12-02,16.47,16.57,16.29,16.41,16.41,209209,0.0000,1.0
2020-12-01,15.95,16.21,15.8802,16.09,16.09,214373,0.0000,1.0
2020-11-30,16.03,16.62,16.012,16.56,16.56,445067,0.0000,1.0
2020-11-27,15.5,15.5,15.08,15.22,15.22,342976,0.0000,1.0
2020-11-25,16.75,16.83,16.531,16.56,16.56,188997,0.0000,1.0
2020-11-24,16.45,16.75,16.305,16.33,16.33,280042,0.0000,1.0
2020-11-23,16.21,16.6634,16.17,16.58,16.58,239305,0.0000,1.0
2020-11-20,16.65,16.69,16.32,16.45,16.45,225257,0.0000,1.0
2020-11-19,16.94,17.0,16.71,16.76,16.76,205862,0.0000,1.0
2020-11-18,16.39,16.74,16.39,16.71,16.71,282586,0.0000,1.0
2020-11-17,16.72,16.8,16.36,16.46,16.46,245710,0.0000,1.0
2020-11-16,16.26,16.42,16.03,16.17,16.17,235459,0.0000,1.0
2020-11-13,16.49,16.7239,16.305,16.42,16.42,360038,0.0000,1.0
2020-11-12,16.46,16.98,16.21,16.86,16.86,505126,0.0000,1.0
2020-11-11,17.02,17.06,16.1993,16.28,16.28,557377,0.0000,1.0
2020-11-10,16.4,16.91,16.27,16.79,16.79,571952,0.0000,1.0
2020-11-09,14.59,15.805,14.52,15.76,15.76,618791,0.0000,1.0
2020-11-06,16.49,16.58,16.02,16.27,16.27,358708,0.0000,1.0
2020-11-05,16.03,16.69,16.01,16.28,16.28,663310,0.0000,1.0
2020-11-04,18.16,18.24,17.0,17.11,17.11,903656,0.0000,1.0
2020-11-03,19.68,19.82,19.2,19.51,19.51,501623,0.0000,1.0
2020-11-02,19.8,20.11,19.62,19.65,19.65,423657,0.0000,1.0
2020-10-30,20.81,21.18,20.7,20.88,20.88,585742,0.0000,1.0
2020-10-29,20.41,20.59,20.05,20.36,20.36,442775,0.0000,1.0
2020-10-28,20.85,21.34,20.73,21.27,21.27,648418,0.0000,1.0
2020-10-27,20.35,20.58,20.0,20.05,20.05,434398,0.0000,1.0
2020-10-26,20.25,20.65,19.8,20.12,20.12,736211,0.0000,1.0
2020-10-23,19.82,20.07,19.57,19.57,19.57,290318,0.0000,1.0
2020-10-22,19.71,20.01,19.63,19.8,19.8,293050,0.0000,1.0
2020-10-21,20.14,20.3,19.83,20.26,20.26,483237,0.0000,1.0
2020-10-20,20.91,20.9899,20.54,20.81,20.81,369191,0.0000,1.0
2020-10-19,20.9,21.21,20.66,21.05,21.05,421814,0.0000,1.0
2020-10-16,21.03,21.24,20.9,21.07,21.07,389229,0.0000,1.0
2020-10-15,22.35,22.39,21.93,22.02,22.02,453343,0.0000,1.0
2020-10-14,21.01,21.55,20.9207,21.52,21.52,292499,0.0000,1.0
2020-10-13,20.82,21.0,20.63,20.74,20.74,316669,0.0000,1.0
2020-10-12,20.94,21.06,20.63,20.71,20.71,391817,0.0000,1.0
2020-10-09,22.87,22.88,22.32,22.46,22.46,284684,0.0000,1.0
2020-10-08,22.9,23.03,22.58,22.61,22.61,251471,0.0000,1.0
2020-10-07,23.12,23.34,22.85,22.98,22.98,458792,0.0000,1.0
2020-10-06,23.73,23.93,23.33,23.73,23.73,668840,0.0000,1.0
2020-10-05,24.69,24.75,24.19,24.2,24.2,386740,0.0000,1.0
2020-10-02,24.86,24.86,23.75,24.52,24.52,528490,0.0000,1.0
2020-10-01,23.91,24.28,23.6,23.72,23.72,366143,0.0000,1.0
2020-09-30,25.28,25.34,24.49,24.63,24.63,567335,0.0000,1.0
2020-09-29,26.54,26.54,26.0,26.2,26.2,204517,0.0000,1.0
2020-09-28,25.95,26.23,25.85,25.85,25.85,256837,0.0000,1.0
2020-09-25,27.58,28.06,27.05,27.17,27.17,419921,0.0000,1.0
2020-09-24,26.62,26.73,25.99,26.39,26.39,500441,0.0000,1.0
2020-09-23,24.79,25.42,24.72,25.37,25.37,365106,0.0000,1.0
2020-09-22,24.29,24.99,24.29,24.66,24.66,317964,0.0000,1.0
2020-09-21,24.63,25.01,23.99,24.05,24.05,440375,0.0000,1.0
2020-09-18,23.01,23.47,23.01,23.42,23.42,331882,0.0000,1.0
2020-09-17,23.7,23.8187,23.29,23.51,23.51,386359,0.0000,1.0
2020-09-16,22.73,22.97,22.53,22.94,22.94,404641,0.0000,1.0
2020-09-15,22.61,22.9279,22.54,22.83,22.83,350577,0.0000,1.0
2020-09-14,23.46,23.55,23.26,23.4,23.4,376746,0.0000,1.0
2020-09-11,23.6,24.14,23.38,23.9,23.9,632310,0.0000,1.0
2020-09-10,23.75,24.64,23.5701,24.63,24.63,713499,0.0000,1.0
2020-09-09,23.59,23.8045,23.07,23.18,23.18,369007,0.0000,1.0
2020-09-08,23.88,24.05,23.35,23.72,23.72,651118,0.0000,1.0
2020-09-04,22.37,23.42,22.03,22.35,22.35,953752,0.0000,1.0
2020-09-03,22.05,23.05,22.0,22.6,22.6,1234191,0.0000,1.0
2020-09-02,20.98,21.8,20.98,21.26,21.26,501017,0.0000,1.0
2020-09-01,21.62,21.63,21.05,21.08,21.08,384982,0.0000,1.0
2020-08-31,21.65,22.26,21.63,21.93,21.93,602093,0.0000,1.0
2020-08-28,20.79,20.92,20.425,20.425,20.425,298207,0.0000,1.0
2020-08-27,20.6,21.29,20.6,20.96,20.96,334631,0.0000,1.0
2020-08-26,20.97,20.99,20.72,20.83,20.83,250948,0.0000,1.0
2020-08-25,21.28,21.39,20.69,20.75,20.75,317585,0.0000,1.0
2020-08-24,20.81,21.13,20.675,21.0,21.0,335227,0.0000,1.0
2020-08-21,22.29,22.34,21.57,21.74,21.74,485600,0.0000,1.0
2020-08-20,23.08,23.23,22.26,22.29,22.29,431968,0.0000,1.0
2020-08-19,22.17,22.64,22.13,22.6,22.6,489547,0.0000,1.0
2020-08-18,21.82,22.22,21.65,21.96,21.96,639524,0.0000,1.0
2020-08-17,22.6,22.66,22.11,22.15,22.15,518614,0.0000,1.0
2020-08-14,23.64,23.6799,23.44,23.5,23.5,470146,0.0000,1.0
2020-08-13,23.8,24.23,23.8,23.85,23.85,569944,0.0000,1.0
2020-08-12,24.0,24.03,23.53,23.7,23.7,736958,0.0000,1.0
2020-08-11,24.22,24.88,24.1,24.76,24.76,725676,0.0000,1.0
2020-08-10,24.91,25.32,24.7,24.76,24.76,433382,0.0000,1.0
2020-08-07,25.19,25.72,24.97,25.29,25.29,846744,0.0000,1.0
2020-08-06,24.1,24.34,23.79,23.85,23.85,307115,0.0000,1.0
2020-08-05,23.8,24.01,23.43,23.95,23.95,442926,0.0000,1.0
2020-08-04,24.26,24.4,23.91,23.94,23.94,626667,0.0000,1.0
2020-08-03,25.69,25.84,25.37,25.81,25.81,388378,0.0000,1.0
2020-07-31,26.13,27.16,26.13,26.6,26.6,675889,0.0000,1.0
2020-07-30,26.0,26.58,25.77,25.84,25.84,486884,0.0000,1.0
2020-07-29,25.23,25.53,24.94,25.07,25.07,477080,0.0000,1.0
2020-07-28,25.79,26.33,25.68,26.25,26.25,332260,0.0000,1.0
2020-07-27,25.86,26.13,25.45,25.67,25.67,466604,0.0000,1.0
2020-07-24,25.91,26.07,25.425,25.46,25.46,723835,0.0000,1.0
2020-07-23,24.35,24.95,24.1,24.84,24.84,560267,0.0000,1.0
2020-07-22,24.04,24.64,23.84,24.39,24.39,675308,0.0000,1.0
2020-07-21,22.67,23.38,22.62,23.29,23.29,412447,0.0000,1.0
2020-07-20,24.0,24.19,23.48,23.65,23.65,384711,0.0000,1.0
2020-07-17,24.53,24.91,24.39,24.62,24.62,365775,0.0000,1.0
2020-07-16,25.21,25.31,24.67,24.77,24.77,647391,0.0000,1.0
2020-07-15,22.9,23.31,22.79,23.13,23.13,487805,0.0000,1.0
2020-07-14,23.5,23.55,22.58,22.86,22.86,1077993,0.0000,1.0
2020-07-13,21.69,22.4,21.15,22.33,22.33,968191,0.0000,1.0
2020-07-10,21.41,21.86,21.35,21.58,21.58,1187558,0.0000,1.0
2020-07-09,19.85,20.98,19.73,20.68,20.68,1464750,0.0000,1.0
2020-07-08,21.17,21.28,20.23,20.3,20.3,1028099,0.0000,1.0
2020-07-07,22.3,22.41,21.76,22.36,22.36,848173,0.0000,1.0
2020-07-06,22.51,22.51,20.63,20.92,20.92,2592440,0.0000,1.0
